epochs, loss_g, loss_d
Epoch 88, Loss G: -2.4608,Loss D:  0.0188
Epoch 89, Loss G: -2.4592,Loss D:  0.0035
Epoch 90, Loss G: -2.4887,Loss D:  0.0064
Epoch 91, Loss G: -2.4869,Loss D:  0.0127
Epoch 92, Loss G: -2.5295,Loss D:  0.0127
Epoch 93, Loss G: -2.5103,Loss D:  0.0111
Epoch 94, Loss G: -2.5482,Loss D:  0.0033
Epoch 95, Loss G: -2.5383,Loss D:  0.0079
Epoch 96, Loss G: -2.5444,Loss D:  0.0464
Epoch 97, Loss G: -2.5441,Loss D: -0.0027
Epoch 98, Loss G: -2.6034,Loss D:  0.0209
Epoch 99, Loss G: -2.6181,Loss D: -0.0100
Epoch 100, Loss G: -2.5927,Loss D:  0.0190
Epoch 101, Loss G: -2.6055,Loss D:  0.0320
Epoch 102, Loss G: -2.5065,Loss D: -0.0344
Epoch 103, Loss G: -2.5996,Loss D:  0.0311
Epoch 104, Loss G: -2.6374,Loss D:  0.0081
Epoch 105, Loss G: -2.6762,Loss D:  0.0046
Epoch 106, Loss G: -2.6577,Loss D:  0.0253
Epoch 107, Loss G: -2.5575,Loss D: -0.0045
Epoch 108, Loss G: -2.6151,Loss D:  0.0412
Epoch 109, Loss G: -2.6116,Loss D: -0.0128
Epoch 110, Loss G: -2.6849,Loss D:  0.0119
Epoch 111, Loss G: -2.7205,Loss D:  0.0521
Epoch 112, Loss G: -2.5735,Loss D: -0.0448
Epoch 113, Loss G: -2.6369,Loss D:  0.0471
Epoch 114, Loss G: -2.7136,Loss D:  0.0331
Epoch 115, Loss G: -2.6074,Loss D: -0.0884
Epoch 116, Loss G: -2.7805,Loss D:  0.0858
Epoch 117, Loss G: -2.6474,Loss D: -0.0109
Epoch 118, Loss G: -2.6063,Loss D: -0.0181
Epoch 119, Loss G: -2.6738,Loss D:  0.0386
Epoch 120, Loss G: -2.6681,Loss D:  0.0154
Epoch 121, Loss G: -2.6971,Loss D:  0.0017
Epoch 122, Loss G: -2.7350,Loss D:  0.0180
Epoch 123, Loss G: -2.7350,Loss D:  0.0491
Epoch 124, Loss G: -2.6000,Loss D: -0.0629
Epoch 125, Loss G: -2.7893,Loss D:  0.0764
Epoch 126, Loss G: -2.6958,Loss D: -0.0523
Epoch 127, Loss G: -2.7480,Loss D:  0.0345
Epoch 128, Loss G: -2.7388,Loss D:  0.0215
Epoch 129, Loss G: -2.6548,Loss D: -0.0508
Epoch 130, Loss G: -2.7629,Loss D:  0.0570
Epoch 131, Loss G: -2.7395,Loss D: -0.0481
Epoch 132, Loss G: -2.7813,Loss D:  0.0352
Epoch 133, Loss G: -2.7185,Loss D: -0.0127
Epoch 134, Loss G: -2.7140,Loss D:  0.0016
Epoch 135, Loss G: -2.7680,Loss D:  0.0447
Epoch 136, Loss G: -2.7737,Loss D: -0.0188
Epoch 137, Loss G: -2.7829,Loss D:  0.0117
Epoch 138, Loss G: -2.8010,Loss D:  0.0009
Epoch 139, Loss G: -2.7501,Loss D:  0.0204
Epoch 140, Loss G: -2.7682,Loss D:  0.0087
Epoch 141, Loss G: -2.7684,Loss D: -0.0102
Epoch 142, Loss G: -2.8009,Loss D:  0.0017
Epoch 143, Loss G: -2.8882,Loss D:  0.0514
Epoch 144, Loss G: -2.7228,Loss D: -0.0339
Epoch 145, Loss G: -2.7541,Loss D:  0.0422
Epoch 146, Loss G: -2.8064,Loss D:  0.0007
Epoch 147, Loss G: -2.7843,Loss D: -0.0344
Epoch 148, Loss G: -2.8959,Loss D:  0.0711
Epoch 149, Loss G: -2.7638,Loss D: -0.0411
Epoch 150, Loss G: -2.7996,Loss D:  0.0003
Epoch 151, Loss G: -2.8548,Loss D:  0.0358
Epoch 152, Loss G: -2.8571,Loss D: -0.0143
Epoch 153, Loss G: -2.8170,Loss D:  0.0123
Epoch 154, Loss G: -2.8555,Loss D:  0.0188
Epoch 155, Loss G: -2.7892,Loss D: -0.0035
Epoch 156, Loss G: -2.8650,Loss D:  0.0173
Epoch 157, Loss G: -2.8589,Loss D: -0.0233
Epoch 158, Loss G: -2.8668,Loss D:  0.0374
Epoch 159, Loss G: -2.8669,Loss D: -0.0044
Epoch 160, Loss G: -2.8221,Loss D:  0.0193
Epoch 161, Loss G: -2.7825,Loss D: -0.0174
Epoch 162, Loss G: -2.8897,Loss D:  0.0240
Epoch 163, Loss G: -2.8954,Loss D:  0.0193
Epoch 164, Loss G: -2.8064,Loss D: -0.0215
Epoch 165, Loss G: -2.8660,Loss D:  0.0241
Epoch 166, Loss G: -2.9010,Loss D: -0.0209
Epoch 167, Loss G: -2.8628,Loss D:  0.0185
Epoch 168, Loss G: -2.8813,Loss D: -0.0097
Epoch 169, Loss G: -2.8572,Loss D:  0.0146
Epoch 170, Loss G: -2.8391,Loss D:  0.0023
Epoch 171, Loss G: -2.9013,Loss D:  0.0227
Epoch 172, Loss G: -2.8970,Loss D: -0.0219
Epoch 173, Loss G: -2.9084,Loss D:  0.0307
Epoch 174, Loss G: -2.8366,Loss D: -0.0109
Epoch 175, Loss G: -2.8308,Loss D:  0.0292
Epoch 176, Loss G: -2.8748,Loss D:  0.0098
Epoch 177, Loss G: -2.8577,Loss D: -0.0247
Epoch 178, Loss G: -2.9558,Loss D:  0.0213
Epoch 179, Loss G: -2.9372,Loss D: -0.0027
Epoch 180, Loss G: -2.8580,Loss D:  0.0067
Epoch 181, Loss G: -2.9103,Loss D:  0.0083
Epoch 182, Loss G: -2.9378,Loss D:  0.0048
