var_1,var_2,var_3,var_4,var_5,var_6
b,e,c,e,a,c
e,b,e,b,d,f
f,b,d,a,e,e
d,a,d,a,d,d
a,d,f,a,f,d
e,a,d,d,b,b
b,f,a,a,d,e
c,d,b,b,d,c
a,b,b,f,e,d
d,a,a,f,c,f
d,a,b,e,b,f
d,c,d,e,c,a
d,c,f,e,e,e
b,c,f,f,b,f
e,b,f,f,a,d
a,a,b,a,e,b
e,c,f,f,c,a
f,d,c,a,d,a
d,e,f,f,e,f
e,c,f,f,e,d
a,d,f,e,a,b
b,b,b,a,c,e
b,d,f,e,d,b
b,f,e,d,f,a
c,f,a,a,d,f
a,c,a,c,a,b
b,c,f,d,b,f
a,d,b,c,a,f
c,d,a,f,d,e
e,d,a,f,f,d
b,d,f,c,e,f
f,c,e,f,a,f
e,c,f,b,b,b
a,f,f,f,a,b
f,c,f,f,d,d
e,e,d,f,d,e
d,c,b,d,e,e
a,f,e,a,c,a
a,e,f,e,d,f
d,d,f,a,d,d
d,c,f,f,b,a
a,b,f,d,c,f
b,c,f,c,d,a
d,e,f,a,e,f
d,f,f,d,a,c
a,d,f,f,f,c
e,e,e,e,d,b
e,d,e,e,f,e
f,f,e,c,a,c
e,f,c,e,e,e
d,e,f,b,e,b
a,c,a,b,e,f
d,d,a,b,f,c
c,a,d,b,e,c
b,d,b,c,f,e
f,c,f,b,a,d
d,c,d,a,d,e
c,a,f,a,e,f
f,b,c,c,d,b
f,a,f,b,a,b
c,a,b,b,a,a
a,d,c,e,b,c
e,e,a,e,d,e
a,a,a,b,c,f
e,a,e,c,f,d
c,a,e,d,d,d
f,f,d,f,b,b
f,d,c,b,c,a
d,e,c,f,c,a
d,a,a,c,a,c
f,c,f,e,b,e
a,a,e,a,b,c
e,d,e,b,c,e
a,a,c,d,c,f
b,d,b,f,e,b
f,d,e,f,a,a
e,c,f,d,c,f
b,b,d,d,a,b
c,b,f,b,e,b
e,c,c,a,c,d
d,e,b,e,e,e
d,b,c,f,c,b
f,a,f,e,d,b
a,a,a,c,a,e
d,d,b,f,b,b
e,d,a,c,b,d
a,b,e,d,e,e
b,a,d,c,f,d
c,b,a,c,e,c
a,f,e,f,b,b
a,f,e,a,a,a
e,d,f,f,b,c
b,d,e,f,a,d
c,b,c,a,c,f
b,e,d,f,a,f
d,c,b,c,c,e
a,e,e,c,c,e
a,b,e,c,b,f
e,e,e,e,f,a
d,d,f,b,b,a
a,c,c,a,e,d
f,d,d,e,e,b
e,e,c,e,e,b
c,c,f,a,a,c
b,d,f,e,a,f
a,b,d,d,d,f
d,d,d,c,f,d
b,b,d,e,a,b
e,c,e,a,b,f
a,c,c,e,e,c
a,d,c,a,e,c
f,b,b,a,e,b
d,b,c,e,c,a
a,a,b,d,f,c
f,b,c,b,b,c
f,d,c,b,e,b
d,f,a,f,e,e
d,d,a,f,d,f
e,d,e,a,d,e
e,d,c,b,a,c
b,d,e,f,f,a
d,f,d,e,b,e
d,d,e,f,c,b
e,a,d,f,e,a
d,a,e,a,f,e
b,c,a,a,e,f
f,c,e,f,e,d
e,c,a,d,b,b
b,e,b,f,a,b
b,f,b,f,b,b
b,e,f,d,b,a
b,f,e,e,e,d
a,f,c,a,b,b
a,e,b,e,b,b
b,b,e,a,e,e
f,f,e,f,d,d
b,e,c,d,f,b
d,f,c,a,e,b
d,d,f,a,a,f
a,f,c,c,a,f
d,d,a,a,d,f
b,f,d,c,e,e
e,f,f,a,b,e
c,e,b,a,b,e
e,c,f,b,f,a
f,a,f,e,a,e
c,c,b,c,f,f
b,c,b,a,e,b
f,e,b,c,f,b
b,c,c,b,a,b
e,c,b,b,c,e
f,a,b,a,e,f
a,a,d,c,f,c
b,b,b,d,c,e
c,f,b,c,e,c
c,c,b,f,f,b
b,e,c,a,a,f
b,c,c,b,c,d
f,b,c,d,b,c
a,d,a,a,c,d
a,d,f,f,d,e
a,c,c,c,e,b
d,c,f,a,e,c
d,e,f,e,a,b
f,e,a,e,b,c
b,e,e,f,f,e
a,f,e,f,e,a
a,e,f,f,f,b
a,c,e,a,a,a
d,c,c,b,b,f
e,b,e,e,d,c
c,a,c,e,f,e
f,f,b,d,b,b
a,a,b,e,f,a
b,a,d,b,c,e
e,e,f,a,b,b
d,d,c,e,d,f
e,e,b,d,b,b
e,d,a,b,d,b
e,f,e,f,e,f
b,e,a,d,d,e
b,c,a,f,e,c
a,d,e,e,d,a
c,a,a,a,b,a
d,f,f,a,b,b
e,d,f,d,d,a
e,f,e,d,a,a
b,e,e,f,e,b
d,b,d,b,a,e
b,b,d,d,f,b
d,a,b,a,f,f
e,b,f,d,c,a
c,d,d,e,b,f
f,a,d,b,e,b
d,c,d,d,a,a
c,a,e,f,a,b
d,c,e,d,f,a
e,a,b,f,c,e
c,c,c,d,d,c
e,e,f,e,f,c
c,d,d,b,d,e
e,c,d,f,a,a
c,d,b,b,c,e
d,e,d,c,d,b
d,e,c,c,e,b
a,a,c,f,c,e
d,d,f,e,d,c
b,e,d,e,d,b
a,d,c,a,b,e
a,d,a,f,b,f
b,c,c,a,b,b
e,a,e,a,b,e
a,f,e,b,b,e
a,f,f,d,c,b
c,d,d,e,c,c
d,f,d,e,e,e
f,e,c,b,b,b
b,e,e,a,d,b
e,c,b,b,d,c
f,e,d,d,c,f
b,f,b,f,b,e
e,c,d,b,a,f
a,d,f,b,d,b
e,a,e,b,a,d
c,b,e,d,d,f
f,e,d,f,d,c
a,a,f,f,f,f
c,e,b,e,a,e
b,f,e,f,e,d
f,c,f,f,e,d
e,a,f,d,d,a
d,d,e,f,f,b
d,d,a,c,a,b
f,d,a,b,e,f
b,d,c,d,b,e
b,a,e,b,c,b
e,e,b,a,a,b
e,f,d,f,c,b
c,c,b,b,b,c
d,e,e,f,b,d
f,b,f,f,c,a
b,e,a,f,d,e
d,f,c,d,c,d
f,e,f,a,d,b
e,d,e,f,f,a
e,c,d,f,f,a
e,c,a,c,a,a
c,d,e,b,e,b
c,f,c,e,f,e
a,c,c,f,e,c
b,f,a,f,d,a
f,a,c,b,d,a
c,d,b,f,c,f
a,d,a,e,f,a
a,c,a,b,e,f
e,e,a,b,d,e
a,a,e,e,a,a
d,d,c,a,d,d
d,a,b,f,a,e
b,f,a,c,d,b
e,c,b,f,b,d
e,f,a,f,f,d
d,d,a,b,d,b
d,e,d,f,e,e
b,a,b,f,e,e
f,b,b,a,c,d
e,b,f,d,a,c
f,f,f,f,f,e
c,b,f,a,d,a
b,d,e,f,b,a
e,a,f,d,b,a
a,a,e,d,c,d
a,c,d,a,d,f
e,d,d,e,e,b
d,a,c,f,f,e
f,a,c,c,a,e
f,c,b,d,b,f
f,c,f,d,b,c
d,e,f,f,b,d
a,e,f,a,a,f
e,d,a,b,e,f
a,d,a,b,f,f
a,c,e,c,a,f
f,d,b,e,a,e
d,d,d,a,f,c
e,f,a,c,f,b
d,c,f,b,e,a
a,d,f,b,f,d
b,c,f,a,c,d
e,e,d,b,b,e
e,b,a,a,d,e
d,d,d,f,e,c
e,e,e,f,c,c
d,d,b,e,c,e
a,b,f,d,c,d
a,a,c,d,f,e
f,b,f,c,d,b
e,c,d,d,f,b
e,a,c,f,e,a
f,c,a,a,e,b
e,b,a,d,b,b
a,e,c,c,f,e
a,b,d,c,e,f
a,f,c,f,e,b
d,a,f,e,d,f
a,d,e,f,b,b
a,a,b,c,a,d
b,a,e,a,f,a
c,d,d,d,d,b
f,b,f,a,f,e
e,e,a,e,d,b
c,d,c,f,b,c
e,d,c,a,f,c
b,e,a,b,d,a
f,f,b,d,d,a
a,b,d,f,b,a
e,c,a,f,c,e
d,a,c,f,c,c
e,c,c,a,f,a
b,a,d,d,b,c
e,a,c,d,d,c
c,a,f,d,f,b
a,c,e,a,a,f
e,d,b,c,f,b
f,b,a,c,a,c
d,d,d,b,a,f
d,c,f,c,b,e
e,c,e,a,b,a
d,b,e,b,c,e
a,b,a,b,f,d
e,b,a,c,b,f
e,b,d,f,b,d
c,d,f,f,b,b
e,c,b,b,e,e
d,c,f,a,a,c
e,e,f,d,c,d
d,d,f,d,d,f
e,e,c,d,c,a
b,e,f,a,c,b
c,c,f,f,a,a
a,f,d,d,d,a
b,a,e,f,b,d
e,d,f,b,b,e
e,a,f,d,d,f
f,d,d,d,b,e
d,d,c,b,b,f
b,d,a,f,e,b
d,b,d,f,c,f
f,d,c,a,a,a
f,c,a,f,d,e
c,e,d,e,d,f
c,f,f,d,c,f
b,c,c,d,c,f
a,c,e,a,b,e
f,d,a,c,e,e
a,c,e,d,c,c
a,d,e,e,f,c
e,a,f,a,e,a
e,c,b,f,f,f
d,e,d,b,a,a
c,b,e,f,a,f
f,c,b,a,c,a
a,c,b,f,b,d
c,b,d,a,f,f
a,f,b,f,e,d
e,e,c,a,e,e
a,c,b,f,a,f
c,b,b,c,d,f
b,b,e,d,b,f
a,c,d,e,d,b
c,e,e,f,d,c
b,c,f,a,e,a
d,b,e,e,c,e
a,e,f,d,d,a
a,a,e,f,e,f
e,c,e,b,f,f
a,a,d,b,c,f
b,c,a,c,d,d
f,b,e,e,a,a
d,b,b,e,b,e
e,c,b,b,d,f
e,a,c,b,d,a
a,f,a,f,a,b
d,f,e,b,d,b
e,a,d,e,d,a
e,c,a,c,e,e
a,d,e,c,c,e
e,d,f,d,d,d
d,c,a,a,e,b
a,f,c,c,d,b
f,d,e,d,e,b
f,f,a,f,e,b
a,c,b,f,c,d
d,a,c,d,e,e
c,a,c,b,d,f
f,e,e,b,a,c
f,b,d,b,c,a
d,a,f,f,d,c
d,b,b,d,e,a
b,d,d,d,d,f
f,a,d,e,e,b
b,e,d,a,e,b
f,a,f,a,a,c
d,b,d,a,b,e
d,d,a,b,f,f
d,d,f,f,c,c
e,a,d,b,c,c
f,c,f,c,b,d
d,f,b,d,f,b
f,b,d,a,f,b
d,e,e,a,c,b
f,d,c,d,c,b
a,d,e,a,e,b
d,c,a,e,e,f
c,d,c,d,a,b
b,d,b,f,d,f
b,d,c,c,f,d
f,e,e,a,c,b
a,f,e,c,d,e
e,f,e,f,e,c
a,a,c,d,e,f
a,f,c,d,c,b
e,e,c,b,f,b
b,c,f,e,b,e
c,a,d,e,c,a
c,d,c,e,a,c
c,e,b,d,b,e
d,b,e,a,d,c
b,a,d,f,f,e
b,a,c,b,b,f
a,c,e,f,d,a
d,c,b,b,f,e
d,f,a,f,e,b
e,c,e,a,d,e
c,e,f,e,e,b
b,f,e,f,c,d
f,d,e,c,e,e
d,d,d,a,a,d
a,d,a,e,e,e
c,d,b,b,a,b
c,d,c,b,c,f
b,c,d,b,e,c
e,d,e,d,e,b
a,c,e,b,b,c
c,e,a,d,d,a
e,c,c,f,c,a
e,e,c,e,c,c
e,f,c,a,f,d
c,f,c,a,a,b
c,d,a,b,b,a
f,a,e,d,f,e
b,d,b,d,c,e
c,c,d,f,b,f
d,c,f,a,e,f
c,e,d,d,a,a
f,f,f,c,e,b
f,b,b,f,b,b
f,c,f,d,b,b
b,e,e,d,c,b
b,a,f,e,a,f
a,e,a,d,b,b
b,c,b,d,b,d
d,c,a,a,d,b
d,d,e,f,a,e
c,a,a,d,d,f
a,b,e,c,d,d
b,f,e,f,e,c
b,a,c,e,c,e
e,f,d,f,d,b
e,c,e,c,d,b
a,c,d,a,a,f
e,b,b,b,f,c
b,f,c,f,b,d
f,a,d,e,d,c
e,d,b,f,a,c
e,c,f,e,c,f
e,e,c,a,b,f
a,d,f,d,e,a
d,d,e,f,b,f
d,a,c,d,c,f
e,e,a,a,c,b
d,e,a,d,d,f
c,b,c,a,d,f
f,c,d,f,f,c
f,e,b,b,c,d
d,d,c,b,d,c
d,f,e,d,b,f
e,c,d,d,d,f
c,e,b,e,e,d
e,c,d,a,a,a
d,c,d,e,a,e
b,c,e,b,a,a
e,b,a,e,b,b
e,e,e,a,b,f
e,f,f,c,e,e
f,e,b,a,f,b
b,f,e,d,e,b
e,f,d,e,a,b
e,e,e,d,f,b
c,d,c,e,a,e
a,d,d,a,f,c
f,a,d,c,c,e
b,c,f,a,c,d
d,a,f,e,a,e
f,f,e,d,e,b
f,f,e,e,e,a
d,d,e,c,b,f
a,c,c,d,c,d
d,c,f,e,e,f
a,e,f,e,e,f
d,f,c,b,c,e
e,c,d,a,c,b
d,e,c,d,c,b
f,e,b,a,e,b
b,d,d,d,d,d
d,c,c,e,a,e
b,c,f,c,d,a
d,e,e,a,a,e
b,d,e,f,b,d
f,b,c,a,a,d
e,a,f,b,e,e
d,c,b,f,d,f
f,f,c,b,e,b
a,c,d,c,a,f
b,d,b,e,c,e
f,a,d,b,d,c
f,a,b,c,d,d
e,f,a,a,c,d
f,d,c,e,e,f
d,d,c,e,b,b
c,b,d,f,d,a
b,e,e,e,d,b
d,d,a,a,f,a
a,c,d,c,b,e
a,d,d,b,f,f
f,b,a,f,e,d
d,d,d,e,a,e
e,b,f,a,e,a
d,e,d,f,d,c
d,d,d,a,a,d
c,d,b,f,a,f
b,b,d,a,d,e
d,f,b,f,b,e
f,a,f,d,c,c
e,c,a,d,d,d
f,e,a,b,f,b
d,a,b,a,c,f
a,d,a,b,a,f
b,e,b,b,f,b
f,e,e,a,b,e
e,d,f,d,b,c
e,c,d,d,d,c
c,c,b,f,a,b
b,d,f,a,a,a
c,b,a,e,d,f
c,b,d,d,e,a
e,b,a,f,e,d
a,f,d,e,e,a
f,b,c,a,d,d
d,a,d,f,a,a
c,c,e,a,a,a
d,b,a,f,e,e
a,e,b,a,a,e
e,f,a,c,a,b
c,d,b,c,c,f
d,b,b,d,c,f
c,b,b,e,d,f
e,c,f,d,f,b
d,e,a,a,b,f
f,b,b,f,d,b
d,b,f,c,a,e
b,f,c,e,e,e
d,e,b,a,c,a
d,f,b,e,a,b
f,a,d,b,e,c
a,f,e,a,a,f
a,c,f,d,b,f
d,f,b,a,a,f
c,a,b,b,e,f
e,c,d,f,e,b
d,c,e,a,b,f
d,e,f,c,d,f
e,a,f,a,b,b
d,b,c,d,a,d
a,b,e,c,e,b
e,e,e,b,d,b
b,f,a,d,e,b
f,f,f,b,a,d
a,c,b,d,b,d
e,e,f,b,a,e
a,b,e,c,c,d
d,f,f,c,b,d
d,f,c,d,e,b
c,c,d,b,a,e
b,b,d,b,f,e
e,c,d,a,d,a
c,d,f,d,e,b
f,d,e,a,d,e
a,a,e,a,c,d
f,a,d,a,e,b
d,d,b,e,a,d
d,b,c,b,d,c
a,e,f,a,b,f
b,d,f,d,d,b
b,c,d,c,f,b
e,c,f,a,a,c
f,f,f,d,c,b
b,e,f,d,d,c
b,e,e,f,a,f
c,c,f,b,a,d
c,e,b,a,c,f
c,a,b,d,e,d
a,c,d,e,a,a
e,c,d,a,f,c
e,c,e,c,a,f
f,a,e,a,d,b
a,f,c,f,a,b
e,c,d,a,e,d
b,f,b,f,f,d
c,d,c,b,b,a
a,a,a,b,b,a
b,f,c,f,f,f
b,a,f,b,b,e
b,c,f,d,c,b
d,d,f,e,b,d
c,e,a,e,a,e
f,e,a,f,f,a
a,b,b,d,e,f
e,c,e,d,c,a
a,e,b,a,f,e
e,b,e,f,c,b
f,e,d,a,e,e
e,d,b,e,e,b
d,b,b,a,c,c
a,d,e,d,a,f
e,a,e,b,d,c
d,b,e,b,a,b
d,d,f,a,a,a
b,e,f,a,c,c
a,a,e,a,b,b
e,c,e,b,e,a
d,d,a,a,b,e
a,c,a,e,d,a
f,e,e,f,a,f
c,d,e,f,b,f
c,a,c,d,e,b
b,c,e,f,b,c
d,d,c,e,d,b
f,e,d,e,d,b
b,d,d,d,d,a
e,c,e,c,c,f
b,d,b,b,f,a
b,f,c,f,f,e
c,d,b,f,c,b
e,f,d,a,a,b
b,e,f,e,a,f
d,e,e,e,e,a
a,c,c,b,f,d
d,e,e,f,e,b
b,a,d,f,e,b
c,d,a,b,f,e
b,c,b,e,d,c
a,c,e,c,d,a
c,d,c,f,d,c
a,d,c,f,d,f
a,f,a,a,f,d
e,a,b,b,c,d
c,a,c,a,f,b
d,c,f,e,e,c
d,f,c,a,d,c
d,a,e,e,e,e
c,b,e,d,f,f
d,c,e,f,a,f
a,b,e,c,e,e
b,b,b,a,a,e
d,c,a,b,c,e
a,d,d,f,e,e
c,d,a,e,f,e
f,f,e,b,e,c
d,b,f,b,a,a
b,d,c,c,f,f
c,b,a,b,b,a
a,e,e,c,f,e
d,f,d,f,a,e
d,d,f,b,e,f
f,b,a,d,d,c
c,a,a,c,e,b
c,b,d,c,f,e
f,c,c,c,b,f
d,d,a,d,f,e
b,f,d,d,d,f
c,b,b,d,f,e
e,e,d,b,d,a
d,b,f,a,b,a
b,d,e,b,a,c
e,b,a,a,f,b
b,b,b,b,d,f
f,a,e,f,a,d
b,f,f,d,c,f
e,b,a,f,e,e
a,a,a,f,e,b
d,b,d,d,d,c
e,f,b,a,a,c
e,c,c,e,d,b
d,b,a,a,d,d
a,c,b,b,d,b
e,d,c,c,f,a
e,b,f,d,e,a
a,e,b,c,a,d
f,b,b,f,d,d
b,f,c,e,d,d
c,e,d,d,e,b
e,d,c,c,c,e
a,c,b,f,b,f
c,a,f,a,f,e
e,f,f,e,d,f
c,f,e,f,b,a
c,e,d,d,b,b
a,f,f,d,b,c
e,f,c,e,b,c
c,b,c,d,f,e
c,a,f,b,c,c
d,d,f,f,c,e
f,a,e,f,f,a
d,a,c,e,f,b
d,a,b,f,c,c
b,e,b,c,c,d
c,a,f,e,e,f
d,e,d,c,e,c
c,c,c,b,a,b
d,b,a,d,b,b
d,a,c,c,b,d
e,d,f,a,d,c
b,a,c,f,e,f
c,a,e,a,b,b
d,d,f,d,c,e
a,e,a,d,b,f
d,b,b,e,d,f
c,d,f,b,d,e
e,e,e,f,d,e
f,c,a,e,d,b
c,c,e,f,f,c
c,a,a,c,a,a
e,b,b,f,e,f
b,e,c,b,c,c
e,e,e,b,f,b
a,a,e,a,c,d
c,a,e,d,b,f
f,c,e,c,d,a
f,f,a,e,e,d
a,b,d,c,f,e
a,a,f,c,b,c
d,e,b,d,d,a
a,c,c,f,f,b
b,c,b,a,d,b
e,d,e,a,d,f
a,d,f,c,d,b
f,f,b,e,f,d
d,a,e,f,d,e
b,c,e,a,a,e
b,d,a,c,b,d
d,f,d,b,a,b
b,d,e,d,f,c
d,e,e,f,f,e
d,f,c,b,e,b
a,d,c,a,a,e
b,b,d,f,f,e
c,c,f,d,b,a
c,d,d,b,f,b
c,d,c,d,b,a
c,e,a,f,f,d
e,e,f,e,e,f
a,c,a,f,e,b
d,d,e,d,d,f
b,a,f,b,c,d
d,d,f,a,b,c
b,c,f,d,e,f
a,f,e,c,f,e
d,f,f,a,a,d
a,c,d,b,a,d
a,f,d,e,f,d
e,b,d,c,a,e
d,e,a,a,d,b
d,e,a,d,a,b
f,e,e,a,a,d
d,e,d,b,f,e
d,c,c,c,f,e
a,f,a,b,e,b
e,c,f,b,a,f
e,d,c,b,f,d
e,a,b,a,c,e
b,a,b,a,a,d
a,c,b,e,a,e
c,d,c,e,b,c
c,b,c,b,e,f
e,d,e,d,e,f
c,e,d,e,e,e
e,e,f,f,f,a
f,e,c,d,f,c
d,c,f,a,f,f
e,b,f,d,d,f
b,c,c,f,e,c
b,a,d,a,d,e
a,b,c,c,c,f
d,f,e,c,f,b
a,e,a,c,e,a
c,d,e,f,f,c
d,c,d,a,a,e
d,d,e,f,e,f
d,a,e,e,d,e
b,a,d,a,b,b
f,e,b,f,e,c
b,f,a,b,f,a
c,a,b,e,e,f
f,f,e,d,e,c
a,f,a,a,a,b
a,e,d,a,d,e
b,b,a,a,a,c
b,e,d,f,e,d
b,b,c,d,f,f
b,d,b,c,f,b
e,f,e,f,b,e
f,f,f,e,a,f
d,e,a,b,e,a
c,b,e,d,d,c
a,a,e,e,c,b
b,e,e,e,d,f
c,a,f,a,b,d
d,a,e,a,c,b
d,e,f,a,a,a
d,b,b,d,d,f
a,c,e,a,d,a
f,f,d,f,e,a
c,d,a,f,e,b
f,a,f,e,d,a
b,a,f,a,c,f
b,e,b,e,b,f
d,a,b,f,b,d
d,e,e,f,d,a
a,c,b,d,c,d
b,b,e,b,a,c
f,a,a,e,c,b
a,a,f,e,c,f
d,c,d,d,e,f
f,d,d,e,e,c
e,f,f,d,b,f
e,e,a,c,f,b
d,d,f,c,f,d
a,d,a,f,d,c
a,b,c,a,a,e
e,f,e,c,d,e
a,b,e,c,a,e
f,d,f,b,e,a
d,c,f,a,e,b
d,c,a,a,f,e
