var_1,var_2
c,a
e,b
a,c
d,e
b,f
f,a
e,e
c,b
e,b
a,d
f,a
d,e
a,e
f,d
e,e
e,e
b,d
e,f
e,a
c,a
d,a
a,b
f,f
b,d
e,e
e,b
c,f
c,a
d,c
e,b
d,b
d,e
f,d
c,a
d,c
a,f
a,c
f,b
f,e
f,e
d,e
b,b
d,d
a,e
d,c
a,c
b,c
a,e
e,e
c,a
c,b
d,f
d,a
e,b
d,c
b,b
b,c
a,e
d,a
b,b
e,f
b,f
c,f
f,f
f,a
c,f
f,d
c,b
e,f
d,f
f,d
e,a
b,b
f,a
e,d
c,f
e,a
b,a
b,b
d,f
a,b
b,b
d,d
e,e
a,e
e,d
b,f
e,f
a,d
f,e
f,e
b,d
a,c
f,a
e,f
b,b
f,a
f,c
c,f
c,a
c,b
a,a
d,b
c,f
c,d
a,a
c,f
f,e
d,a
f,a
b,e
d,e
f,f
d,d
e,a
f,e
f,d
e,c
b,b
f,e
a,e
c,e
f,b
c,a
f,c
f,b
c,d
d,b
e,f
b,e
e,a
b,a
f,e
b,b
d,b
d,e
d,a
d,e
c,a
b,c
f,e
d,c
e,a
c,b
b,d
f,a
f,b
f,b
c,a
f,e
f,e
d,a
f,e
c,b
b,a
e,f
c,a
d,c
a,f
a,c
a,b
a,e
d,c
a,f
a,a
f,e
d,f
e,c
d,a
d,f
f,b
a,e
f,d
f,a
a,e
c,a
d,e
f,e
b,c
c,f
c,f
e,e
e,a
c,d
c,b
f,e
e,e
a,e
f,d
e,c
b,c
f,f
a,d
d,d
c,f
a,c
c,c
f,f
f,e
e,f
d,b
b,e
f,d
e,b
f,e
b,d
d,b
c,b
a,f
b,d
b,e
b,f
a,d
d,a
d,b
c,a
a,d
a,c
e,c
e,c
a,e
d,e
d,d
a,a
d,f
c,f
c,c
a,e
d,c
b,e
e,a
a,c
e,b
c,a
b,e
b,f
f,e
b,f
a,c
a,c
c,a
f,e
c,f
a,a
c,f
b,b
b,c
d,c
d,d
d,c
b,e
d,d
c,f
a,c
f,d
e,a
c,e
a,a
b,b
a,b
c,d
d,a
b,b
c,e
c,d
b,e
a,e
f,e
f,e
d,d
a,f
d,c
d,e
f,e
d,d
b,b
d,e
e,b
c,a
a,a
f,f
d,a
f,d
b,e
b,c
b,b
a,e
b,a
c,f
b,a
e,f
f,d
a,d
f,e
e,c
c,e
c,e
e,c
d,c
f,c
b,b
f,d
b,e
e,e
c,d
c,d
f,a
d,b
e,b
b,a
e,b
c,f
d,a
a,b
a,b
a,b
d,e
b,b
b,a
d,c
c,a
b,c
f,d
c,b
a,a
e,f
a,e
a,a
a,c
b,c
a,a
b,b
a,a
c,f
a,b
a,e
b,f
b,c
f,e
a,a
d,c
b,c
d,e
f,e
f,b
c,f
a,c
c,b
e,b
c,d
c,a
e,c
e,a
