var_1,var_2,var_3,var_4
b,b,b,e
d,d,a,f
e,d,c,b
a,d,f,c
c,a,d,e
a,c,d,a
a,b,d,b
a,c,b,c
a,c,c,d
f,a,c,c
e,f,f,f
e,f,f,f
b,c,c,f
e,d,d,f
a,d,f,d
b,d,b,f
b,c,d,f
e,c,c,a
c,f,c,e
c,d,a,b
e,e,a,b
e,d,a,f
a,d,d,c
e,e,a,f
f,c,e,c
f,d,e,d
f,a,e,c
a,c,d,b
a,e,f,a
d,d,f,e
c,f,c,c
f,b,d,e
c,a,f,c
d,c,e,f
f,c,b,a
a,c,a,d
f,e,f,a
b,a,a,a
f,e,c,a
c,b,f,b
b,a,d,f
c,c,c,c
b,d,d,a
b,c,d,c
f,d,f,d
e,e,a,f
b,a,c,d
c,c,e,d
d,c,f,a
b,c,c,f
c,b,d,e
f,c,b,a
a,b,c,f
f,d,d,f
a,c,c,f
a,b,f,c
a,d,b,d
d,f,b,a
b,e,c,e
d,d,a,a
a,a,f,d
e,b,a,b
b,d,c,a
e,b,c,f
c,d,d,a
c,b,b,a
c,c,f,a
b,e,e,b
b,a,f,d
d,f,f,e
d,f,e,c
b,e,b,a
b,d,f,d
d,f,b,e
e,f,a,f
b,f,d,c
b,c,b,b
b,f,d,a
c,d,a,b
e,f,f,f
e,a,e,d
a,a,a,d
a,d,d,c
d,c,c,f
d,d,d,e
d,a,c,b
c,c,c,d
e,b,a,b
b,b,b,a
e,b,c,d
d,d,d,a
f,b,e,d
d,b,f,e
c,e,c,f
f,f,e,c
e,b,c,d
b,a,b,e
d,b,a,b
e,b,f,f
d,c,a,a
e,c,c,b
c,c,e,f
d,f,b,d
e,d,a,b
b,d,b,f
a,d,a,f
b,d,b,a
d,e,d,e
e,d,d,b
e,e,d,d
e,f,d,e
e,c,f,d
c,c,f,d
c,c,f,d
e,d,e,f
f,b,b,a
c,b,a,f
e,d,b,a
f,d,f,f
a,b,d,c
c,b,d,b
b,b,e,c
a,b,f,b
c,f,c,c
d,f,c,f
c,b,e,d
e,a,c,f
b,b,c,c
d,f,d,c
e,a,d,f
f,c,c,c
f,c,e,f
d,d,c,c
f,b,a,c
f,b,b,f
d,a,f,f
e,e,f,e
e,f,f,b
b,f,d,a
a,f,b,a
e,b,a,a
a,a,f,f
c,f,b,e
f,a,c,c
e,e,b,b
c,d,d,a
e,c,c,f
a,a,a,b
c,e,a,f
d,d,e,a
d,a,b,b
c,b,e,a
e,b,a,e
b,f,d,a
d,b,a,a
c,f,f,f
d,e,c,a
d,a,a,a
a,f,a,f
a,f,d,d
c,a,d,a
c,a,c,f
d,a,f,d
a,a,a,f
b,a,e,d
e,f,d,d
f,a,c,d
a,a,d,a
a,d,c,a
f,f,e,b
a,d,e,d
a,f,a,e
b,f,b,a
b,c,b,d
e,b,c,d
a,d,d,f
d,f,a,e
a,b,c,d
e,b,a,d
f,c,b,f
f,f,b,d
f,f,f,d
b,e,e,b
f,f,f,b
a,b,c,b
e,c,c,b
a,a,b,a
d,b,f,e
b,a,b,a
e,e,c,f
b,f,e,f
c,c,d,b
d,b,d,e
b,a,e,d
f,b,d,f
c,e,a,f
f,c,d,f
e,f,d,b
b,e,a,d
a,d,e,a
e,e,a,c
f,f,f,d
c,c,a,d
a,a,f,d
f,f,c,b
f,c,f,b
b,f,d,a
e,b,d,f
b,b,a,f
d,e,b,e
b,e,c,a
c,b,c,f
f,b,e,f
a,c,d,c
b,a,d,d
b,c,b,a
d,e,d,c
a,f,f,d
d,e,a,f
b,c,c,e
c,b,e,b
d,a,f,e
c,e,a,f
c,a,b,f
d,f,b,f
d,b,c,b
e,a,c,a
c,b,c,b
e,d,c,b
f,d,f,e
b,c,c,d
c,e,b,d
b,d,b,a
b,b,a,b
c,f,a,a
e,d,d,a
d,b,d,b
f,b,f,f
b,d,f,e
c,e,d,e
f,f,d,e
d,a,d,e
a,b,a,d
e,c,f,c
f,b,c,f
a,f,a,f
d,f,a,f
d,e,c,c
b,e,a,f
d,e,e,b
b,e,e,f
c,c,d,b
a,a,a,d
e,f,f,b
a,b,c,c
a,d,e,b
a,f,a,c
c,c,c,f
b,c,c,c
c,b,d,a
d,e,a,f
f,a,b,e
e,e,a,d
b,c,b,c
e,f,f,a
b,c,f,f
d,b,b,a
a,f,f,b
f,c,f,d
b,b,c,f
d,c,e,e
d,a,d,f
c,f,e,b
a,d,f,c
d,a,b,a
a,b,d,f
d,a,a,c
c,b,b,f
c,d,c,a
e,a,f,a
c,a,d,f
c,e,f,b
a,d,e,c
a,e,c,e
d,c,a,d
b,f,f,f
e,f,d,e
f,a,d,d
c,f,e,a
f,d,d,a
f,a,c,a
f,c,f,e
b,d,b,d
c,e,d,f
b,c,b,f
b,b,a,c
f,b,e,d
e,b,f,e
e,a,d,a
b,b,c,c
c,b,e,b
b,f,e,f
e,f,d,c
e,f,c,f
e,b,b,f
d,a,d,d
c,c,f,d
a,c,c,d
e,b,f,f
f,b,c,b
f,d,b,c
b,f,d,b
e,b,f,c
e,f,c,e
c,a,d,d
e,b,d,e
d,c,f,e
d,d,f,d
d,d,f,d
c,a,c,e
f,b,e,c
c,b,f,b
f,f,d,b
a,b,e,c
d,c,b,f
a,e,b,d
d,c,b,f
c,b,b,a
e,f,a,c
d,d,d,a
d,e,a,c
b,b,f,e
c,a,d,d
d,c,c,e
b,a,c,a
f,d,c,d
c,f,c,f
d,b,f,b
d,b,c,a
e,b,f,c
e,a,d,d
a,c,f,b
b,b,f,f
b,f,b,c
b,e,f,a
b,d,e,b
a,a,f,d
b,d,d,f
e,b,a,f
d,b,f,c
f,d,b,c
c,a,c,b
d,b,e,c
d,c,c,e
a,c,c,e
f,a,f,d
b,d,f,b
f,e,c,a
e,e,e,f
c,d,e,a
d,e,a,a
a,d,d,f
c,e,b,e
f,f,a,a
c,b,e,b
e,e,f,c
d,c,d,a
e,f,c,b
f,c,c,c
e,c,e,f
e,c,a,c
f,a,f,c
f,c,a,a
a,f,f,e
d,c,f,f
a,f,f,d
c,d,c,f
a,b,c,a
e,c,d,a
a,f,b,d
c,b,d,f
d,a,d,e
a,e,e,b
d,c,f,c
f,b,e,e
c,f,d,d
b,b,a,b
b,f,c,e
a,c,e,e
d,e,a,c
c,f,e,f
c,f,d,f
d,f,a,a
b,d,b,e
e,b,a,c
f,e,b,c
b,d,c,d
d,d,e,f
e,a,e,a
a,e,d,a
a,b,f,f
d,e,a,e
a,a,e,c
f,c,e,a
c,b,c,f
f,d,f,f
a,c,c,b
b,c,b,f
e,d,d,a
e,f,d,f
b,c,b,a
e,c,a,f
c,b,a,a
f,f,d,a
f,a,d,d
a,d,b,f
e,e,b,e
c,a,e,e
d,b,a,b
b,e,a,f
f,d,c,a
c,b,f,c
d,c,f,d
c,b,c,b
b,d,f,b
e,c,a,e
c,f,b,d
c,d,d,a
c,c,f,d
e,e,b,d
d,d,b,d
a,a,f,e
a,e,e,f
d,c,f,f
d,e,c,d
f,a,f,d
e,d,d,c
c,f,f,e
a,c,a,b
b,d,c,a
c,a,e,f
c,d,d,a
b,a,e,f
a,f,d,b
c,a,b,d
c,e,a,a
c,b,b,c
f,c,e,b
c,e,c,d
a,e,a,f
d,e,a,c
d,f,b,d
b,d,c,f
c,f,e,b
f,f,d,c
d,a,a,a
f,b,c,e
e,a,b,d
a,a,c,d
f,f,f,f
c,f,a,d
c,c,d,f
b,a,c,d
e,b,f,e
e,f,d,e
f,d,e,d
d,e,d,d
f,c,d,f
c,d,a,a
c,d,b,f
e,f,f,e
b,f,f,f
f,a,f,d
b,c,f,c
c,e,d,a
e,e,a,b
b,d,d,e
e,f,d,f
d,b,c,c
d,f,d,a
c,a,c,d
b,a,e,a
b,b,b,b
d,f,e,c
c,b,f,f
b,f,d,a
b,f,d,f
e,b,e,e
c,a,d,c
c,d,a,b
d,f,e,d
a,b,d,b
d,a,d,d
b,c,c,b
a,a,c,b
c,c,a,a
b,b,b,a
c,a,a,a
c,e,f,f
d,d,b,a
b,a,c,b
d,f,d,a
d,b,e,f
a,d,c,a
c,e,b,a
d,a,f,b
b,d,b,c
a,d,e,a
d,a,f,e
f,d,d,c
f,a,e,c
c,e,a,a
e,d,d,d
f,e,e,d
f,b,d,a
b,b,b,a
e,b,f,f
b,d,c,a
a,a,e,c
c,d,a,d
d,b,d,c
c,c,a,c
c,b,e,c
d,b,f,c
f,c,a,c
e,c,e,e
e,e,f,c
e,a,e,c
f,b,a,c
c,d,a,b
b,c,f,c
e,a,f,b
f,a,e,b
a,a,c,c
e,b,a,f
f,d,d,d
e,c,f,b
d,c,f,c
d,d,c,e
d,e,e,b
d,c,e,f
c,e,d,c
f,d,e,e
e,b,b,c
c,e,f,f
b,c,e,c
a,d,a,c
d,c,e,d
d,e,a,e
d,f,f,e
f,e,f,b
b,b,d,c
c,c,e,d
c,c,c,d
d,f,f,d
f,f,d,b
f,b,c,e
b,d,c,d
c,a,e,d
d,b,f,b
e,a,f,c
a,c,a,e
c,a,e,d
e,c,f,e
e,e,d,f
c,c,c,d
c,e,c,e
b,f,a,b
b,a,d,a
f,b,c,c
e,b,d,f
a,e,b,a
b,a,d,a
c,f,c,a
e,f,c,a
f,b,b,e
d,f,c,e
e,b,f,f
f,f,e,d
d,b,f,c
c,e,f,f
b,b,f,c
c,a,a,a
b,f,b,a
c,c,d,f
c,e,d,a
c,e,e,c
a,b,d,e
e,b,f,c
f,d,b,a
e,f,c,f
a,c,f,c
e,f,c,d
c,b,c,b
d,a,f,d
e,f,f,e
b,d,e,e
c,a,a,f
c,d,c,a
e,b,b,b
f,a,c,c
e,a,d,d
d,b,f,a
c,b,c,d
a,f,a,e
e,e,f,d
a,b,c,f
a,e,a,f
c,a,c,a
e,a,e,e
f,f,e,d
e,f,f,a
d,e,b,a
e,a,a,b
d,e,a,f
c,e,d,a
b,a,d,a
e,d,f,b
c,c,e,f
f,d,c,a
f,f,b,e
b,c,c,b
c,b,a,c
e,e,f,c
c,d,d,d
e,c,b,f
c,d,b,d
f,d,d,d
f,c,d,f
a,d,d,e
d,b,c,b
d,f,d,a
e,c,c,a
a,c,f,c
e,c,b,a
a,b,a,f
d,e,d,b
b,d,b,d
b,a,f,d
d,f,f,e
e,b,c,b
d,c,a,f
d,e,e,f
b,d,b,b
d,f,d,d
f,d,a,c
c,b,d,d
d,e,f,c
f,b,c,a
c,a,c,d
b,e,f,b
d,d,d,a
a,b,c,f
b,b,b,c
e,a,f,d
b,d,d,c
c,b,f,f
e,f,f,a
f,b,d,c
a,f,f,a
f,f,c,a
a,d,d,e
b,f,e,f
