var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
f,f,h,l,m,i,b,k,e,d,b,n,a,f,k,l,c,b,e,b,f,b,g,d,j,h,d,m,a,c,m,c,a,m,l,k,o,a,k,f,e,c,o,e,g,j,k,b,f,b
e,i,n,j,l,l,f,g,g,m,m,g,n,l,i,l,k,e,c,d,o,o,a,b,c,n,o,d,h,d,c,j,j,e,k,g,c,h,o,h,n,m,e,f,g,f,n,n,h,k
a,n,c,b,j,h,l,a,j,i,e,o,i,h,a,a,l,a,m,h,g,m,o,l,g,l,k,j,m,g,b,l,a,g,g,j,b,m,d,k,i,g,h,i,a,d,o,l,k,g
l,c,c,d,n,g,h,h,a,c,o,n,n,o,a,n,k,g,a,i,d,k,k,i,i,o,g,l,m,m,n,a,e,l,n,f,l,h,o,i,n,j,l,n,d,h,g,c,i,b
b,l,c,l,b,h,i,k,a,g,e,m,k,l,i,e,a,g,c,c,b,h,b,g,i,k,i,m,f,h,i,m,j,a,a,n,o,m,n,f,m,j,f,g,n,j,a,h,c,m
b,j,m,n,f,o,m,m,d,b,b,j,o,o,i,a,j,g,j,h,c,j,f,m,k,i,m,h,n,o,m,l,k,b,f,g,e,f,h,l,i,e,l,b,j,h,e,b,m,i
k,m,i,c,k,b,o,h,m,n,k,a,k,a,f,g,e,h,k,k,b,h,e,i,g,c,o,b,l,l,c,b,a,g,e,g,l,f,h,a,c,b,d,l,j,g,a,m,j,f
l,l,j,m,d,b,c,f,g,k,k,o,a,c,i,b,o,k,m,f,k,k,e,k,m,k,b,e,e,j,m,h,l,m,h,j,b,c,c,f,l,c,l,k,b,o,c,i,c,i
o,j,a,d,n,o,c,k,d,f,c,m,f,g,h,j,b,a,e,m,c,e,f,h,j,h,b,g,i,e,g,l,g,j,o,c,h,c,i,g,c,b,i,o,g,a,h,f,l,l
c,d,d,l,l,j,j,n,a,a,k,m,d,i,d,n,c,a,j,b,i,b,d,m,a,b,g,a,d,f,h,o,m,j,i,h,l,i,n,o,l,d,b,l,i,n,a,l,a,m
i,a,b,l,l,d,b,m,a,n,h,o,n,e,i,l,e,h,f,f,k,j,f,c,k,j,g,l,n,n,i,n,l,f,k,n,j,b,c,m,k,a,k,b,h,i,m,c,b,o
f,o,b,o,d,m,m,e,l,b,g,e,i,g,n,a,k,l,b,o,l,m,m,o,m,f,b,h,l,g,g,j,c,b,m,e,i,h,g,l,d,i,f,f,a,l,j,l,j,e
l,b,d,m,f,g,d,b,b,b,e,n,k,c,d,j,h,e,g,a,o,k,d,h,o,a,g,g,k,j,h,e,d,h,k,f,g,d,i,g,j,c,a,j,i,h,d,e,b,m
j,f,m,m,c,i,j,c,i,n,m,i,f,e,i,o,j,k,d,h,d,b,e,c,c,e,i,i,l,e,h,i,d,c,g,l,f,m,c,b,h,l,m,e,o,a,h,a,l,i
j,e,b,k,o,k,d,k,i,n,l,h,n,a,b,b,f,l,b,h,c,b,m,k,n,j,j,h,m,c,a,g,m,k,m,j,i,j,d,n,f,n,n,d,e,e,l,j,l,f
h,h,d,d,h,c,e,l,k,a,d,b,d,i,b,g,m,o,g,f,j,h,d,a,b,k,a,n,d,d,d,j,o,n,k,b,g,k,a,h,g,a,b,f,f,d,e,f,b,l
i,a,o,k,i,b,m,e,f,a,i,l,o,b,l,h,c,j,c,m,h,d,i,f,k,b,g,j,f,n,l,b,i,h,o,b,b,c,l,o,c,l,a,c,n,a,d,h,d,c
h,f,j,k,m,j,i,m,a,b,i,b,b,n,m,c,j,k,n,l,h,h,e,a,b,b,l,g,e,d,e,c,j,f,o,c,h,j,h,o,h,o,d,l,l,l,f,a,g,d
i,i,e,k,b,j,l,n,o,d,j,o,h,d,c,b,c,d,l,f,g,j,n,d,l,n,c,i,l,i,c,i,h,i,l,k,m,l,g,g,a,d,d,h,g,f,e,b,j,i
o,n,i,g,f,h,m,g,f,b,f,m,h,o,l,m,n,a,i,m,k,n,o,f,m,k,o,h,c,o,e,c,f,c,c,l,n,i,h,l,f,k,k,e,m,e,g,k,k,i
m,d,f,e,m,a,b,c,f,n,o,m,g,d,f,l,o,c,h,n,c,m,e,j,k,g,e,k,j,i,h,d,d,d,b,g,f,b,d,o,e,f,f,k,k,n,a,d,o,d
j,l,o,d,e,j,h,g,l,e,c,f,a,e,a,l,n,c,g,a,d,h,b,l,o,f,l,b,e,j,a,i,i,k,h,i,o,j,l,c,b,d,c,a,a,d,a,c,b,c
g,a,g,c,b,d,g,i,m,n,e,b,b,g,b,l,h,a,i,n,b,g,f,j,e,f,h,l,f,o,h,d,f,n,n,j,f,o,o,l,i,l,m,a,n,n,j,h,i,f
c,g,i,n,g,i,k,o,l,a,d,e,b,c,i,h,f,j,a,d,l,f,m,k,f,m,i,o,g,d,e,c,g,f,j,n,a,m,a,k,g,b,l,a,a,m,n,b,b,j
h,c,g,a,k,o,c,b,n,f,j,l,o,f,d,d,b,a,h,f,d,a,l,n,c,l,e,e,j,e,i,n,d,n,f,n,n,l,a,b,g,a,o,b,a,b,g,g,g,f
j,m,o,o,i,b,l,d,b,c,g,a,o,o,e,g,c,n,a,c,o,m,i,d,i,i,d,d,a,e,j,l,g,c,d,m,m,e,b,d,o,i,g,b,l,a,a,n,b,o
c,o,i,j,c,a,j,e,o,g,i,d,o,a,m,j,f,m,o,e,o,i,c,c,o,m,k,n,e,i,d,a,e,j,a,j,d,g,d,l,h,b,g,n,n,k,n,c,j,c
g,i,j,b,m,a,b,h,f,g,h,n,e,k,m,a,f,j,d,c,d,j,l,h,c,e,l,d,n,a,o,f,k,o,m,g,n,e,k,a,b,e,h,g,o,d,a,b,b,l
d,c,f,f,h,i,i,d,f,i,c,d,j,f,i,j,g,m,g,b,i,f,g,k,e,j,j,k,d,c,b,m,i,l,b,j,l,l,c,e,g,l,f,j,h,l,j,l,o,h
h,e,f,b,e,o,b,o,a,g,d,e,l,h,h,a,n,i,f,g,a,o,l,c,b,j,k,i,b,o,e,g,k,g,b,l,m,n,k,m,j,c,o,i,m,c,k,l,l,i
b,a,k,o,e,n,c,g,g,j,j,a,j,i,c,j,i,a,n,a,j,f,i,k,i,d,g,f,i,o,e,f,b,b,l,a,h,i,f,o,b,m,n,o,f,k,f,h,k,f
l,h,k,m,g,f,a,l,n,i,n,a,c,n,b,n,n,e,g,i,g,c,k,j,c,i,b,e,e,i,f,n,k,b,j,a,n,n,e,j,o,k,c,c,b,b,l,i,g,m
a,g,i,i,k,b,e,a,l,a,a,f,a,i,f,k,m,k,h,a,n,h,m,g,f,g,h,j,e,o,m,d,c,b,b,b,k,a,j,g,o,c,g,c,c,e,g,m,f,n
j,i,d,h,f,e,f,h,l,g,n,d,g,j,k,m,g,c,d,a,m,e,h,n,j,h,c,j,d,k,k,l,h,h,i,e,g,i,d,i,m,f,j,m,c,c,n,f,o,k
i,k,n,c,i,h,a,a,l,h,e,l,n,j,a,n,i,m,j,h,o,i,f,n,k,m,l,d,a,j,h,a,b,m,a,n,i,h,j,n,h,a,l,n,g,a,n,f,l,e
f,h,b,i,k,j,n,m,d,e,n,g,h,a,a,e,l,d,j,b,k,g,l,o,g,h,k,c,d,o,j,b,c,l,l,f,l,e,m,j,b,f,l,n,e,m,c,o,k,l
a,h,h,a,o,b,d,m,j,m,c,g,j,f,l,k,j,f,l,d,o,o,o,l,n,h,j,o,f,m,g,d,i,i,l,l,m,l,j,n,k,e,i,i,i,e,n,c,m,l
j,n,f,h,n,g,j,m,f,n,c,f,b,k,g,m,h,n,j,j,l,i,f,f,d,m,k,i,e,h,h,f,f,h,a,g,a,c,k,i,n,g,b,f,b,d,a,a,a,c
c,g,n,i,l,i,n,b,d,k,m,f,e,n,o,b,a,l,k,j,n,l,l,l,e,h,h,l,c,b,f,j,d,l,k,h,k,f,f,e,m,a,i,h,i,o,a,a,g,b
a,d,j,i,f,b,i,o,b,n,n,i,h,e,j,d,l,h,n,d,d,n,j,d,e,m,i,c,j,m,o,b,k,e,m,b,m,o,j,a,a,c,j,a,b,d,f,h,c,i
h,e,k,d,d,d,j,i,m,d,g,d,f,e,e,i,i,d,d,b,j,c,g,d,i,f,l,l,c,n,k,c,c,h,k,d,k,d,f,k,k,n,m,n,o,c,j,j,l,l
k,b,m,f,l,o,o,h,b,a,b,g,a,d,c,e,d,b,c,j,m,l,i,c,b,n,j,n,d,c,i,k,g,c,g,g,a,n,n,a,b,h,f,o,g,m,i,f,g,b
o,j,k,o,a,c,o,n,l,a,m,k,n,o,b,m,k,o,c,m,j,m,h,g,l,k,h,h,d,l,j,a,o,e,l,n,m,m,m,g,l,l,d,d,f,o,a,j,e,m
d,i,n,o,n,j,k,o,b,k,f,h,a,e,h,h,i,f,h,d,m,a,k,g,l,m,b,g,e,d,m,m,n,i,k,o,f,g,l,c,d,b,d,k,i,f,c,d,l,f
g,l,c,l,h,m,m,f,l,b,o,d,l,l,j,k,l,e,i,i,k,j,b,m,k,g,g,i,g,l,n,i,h,i,o,m,n,n,o,b,k,b,f,b,e,i,i,m,c,c
g,k,f,d,g,h,c,j,f,l,i,i,m,k,g,o,o,o,e,h,h,i,m,d,e,i,g,m,h,c,f,f,j,e,l,g,n,o,e,g,f,f,l,b,m,c,j,j,f,h
m,l,f,a,d,a,a,j,j,i,b,n,b,c,o,o,b,m,i,e,k,m,m,k,a,h,h,i,l,h,h,d,b,a,g,h,a,h,o,f,i,g,o,l,i,o,j,g,a,m
e,l,g,a,g,i,b,e,d,i,n,e,a,k,f,b,f,m,d,i,a,c,g,l,n,a,k,f,h,k,d,a,h,o,g,b,o,k,e,d,i,c,b,i,o,e,m,b,k,o
c,k,n,j,c,l,l,m,f,i,h,h,h,c,d,m,f,o,e,e,n,k,n,d,g,d,h,d,f,e,o,d,g,d,k,j,g,d,j,b,f,a,m,k,g,c,h,n,n,g
j,o,f,l,d,e,m,b,h,k,g,n,i,n,j,l,a,j,n,c,i,m,a,j,j,i,c,b,j,k,i,l,n,i,c,j,g,j,o,c,j,m,m,d,l,g,n,j,d,h
l,a,m,k,n,d,j,h,h,f,a,c,j,l,k,j,h,c,j,m,c,k,g,a,a,o,o,a,k,b,a,d,k,g,n,m,o,f,m,o,a,a,a,d,g,d,h,b,k,f
m,a,k,d,m,i,i,h,k,g,h,a,f,a,j,i,h,j,e,m,j,b,f,m,o,a,c,i,m,i,e,l,o,h,m,c,g,n,i,d,d,d,b,c,o,h,d,j,o,a
h,b,f,o,l,i,o,a,k,m,m,c,b,j,m,i,a,c,o,f,h,d,m,j,a,c,o,d,j,m,n,f,j,f,c,g,b,e,k,g,o,k,h,c,o,n,e,i,k,c
i,o,c,i,b,k,l,l,e,n,o,l,g,j,o,e,k,f,f,g,n,i,i,n,d,i,i,l,d,h,o,g,d,e,g,h,f,h,f,i,f,g,m,m,f,i,g,g,k,j
a,c,b,i,j,l,o,a,o,h,m,k,n,b,e,n,k,l,g,b,o,g,c,l,i,g,e,b,c,e,b,c,a,f,a,j,d,h,k,l,b,h,f,l,h,n,m,f,e,e
j,o,b,f,f,j,e,h,f,o,d,b,h,j,h,o,e,i,i,n,i,i,d,d,l,g,n,o,a,k,h,j,d,l,h,m,j,j,e,g,b,m,j,d,b,g,n,h,f,m
h,d,m,j,f,a,j,o,b,l,n,k,f,d,c,l,o,l,k,h,j,f,e,l,h,m,a,l,f,k,f,k,j,c,j,m,f,o,n,k,a,l,e,b,i,n,b,a,f,g
f,a,e,f,n,m,h,m,a,i,k,c,c,h,n,b,o,a,b,f,j,m,m,i,m,j,m,k,b,m,g,n,m,h,o,i,g,a,b,d,d,c,n,f,l,k,c,o,a,i
k,k,h,o,m,g,o,d,l,f,m,n,d,k,d,o,a,g,a,e,e,o,m,m,e,o,f,f,l,c,n,i,n,c,j,m,g,o,n,j,e,d,n,f,n,o,h,i,l,i
n,e,b,i,k,c,m,f,m,d,n,n,h,d,c,e,n,h,a,o,f,h,c,f,h,l,b,i,i,g,l,e,h,j,g,i,g,m,k,d,e,b,l,j,b,f,l,m,j,m
i,i,k,n,i,m,m,f,h,l,c,c,k,o,h,f,m,f,k,k,c,m,a,b,i,j,c,j,c,m,o,o,d,c,f,j,e,b,d,n,m,m,k,i,o,n,d,f,o,h
o,j,a,j,k,b,m,h,i,d,i,f,g,o,m,f,i,f,h,j,a,e,e,o,d,f,i,l,g,b,o,n,a,a,j,k,g,c,l,c,d,k,b,f,n,c,o,a,n,b
m,c,d,l,g,c,b,f,n,n,f,k,c,g,k,f,g,o,l,k,d,b,e,j,d,k,g,m,g,n,h,g,l,e,d,j,i,k,n,d,g,j,o,n,d,k,j,b,g,c
l,j,i,k,c,k,e,d,m,n,o,g,e,d,f,c,g,i,m,g,i,i,k,o,k,c,l,c,i,i,m,i,i,k,b,o,a,g,m,g,i,j,k,b,h,i,c,e,n,e
b,l,m,i,a,a,c,i,b,l,l,o,b,f,l,a,o,m,o,f,h,o,h,f,h,h,k,b,n,d,h,g,h,i,m,l,d,i,h,h,f,c,i,e,c,b,f,k,d,i
h,e,h,b,e,o,b,l,l,d,m,l,a,g,i,c,m,m,h,o,b,f,a,l,d,f,i,a,o,f,e,d,i,c,n,j,d,g,d,j,k,d,c,g,m,h,j,h,d,n
k,i,c,j,k,n,d,m,o,h,i,o,h,n,h,f,j,h,h,j,b,d,k,m,k,e,g,e,f,e,o,i,a,c,n,f,c,h,o,k,g,c,j,i,l,i,h,e,c,b
f,f,a,h,e,e,m,j,c,m,i,i,m,h,o,c,b,l,g,l,k,o,g,c,e,n,g,c,f,g,d,h,k,k,f,i,i,f,c,g,g,m,f,d,d,i,d,n,n,a
e,m,e,e,m,a,d,o,g,c,c,g,b,d,o,c,l,k,a,c,b,n,k,g,n,f,a,i,b,f,a,d,l,m,c,d,m,c,e,e,n,e,f,a,a,o,h,f,n,n
l,d,d,o,l,k,c,k,c,m,g,l,a,k,n,n,k,k,l,g,i,n,o,m,h,j,h,e,k,k,k,k,o,f,j,n,b,n,e,d,i,n,j,m,g,f,e,c,j,h
k,k,b,f,d,j,a,g,h,m,m,b,o,j,l,h,f,b,o,c,d,e,g,b,j,m,l,l,l,c,l,c,m,l,a,a,e,j,a,f,b,d,b,h,c,f,e,k,k,f
d,a,h,d,b,h,b,l,l,d,b,h,h,n,a,g,l,f,l,n,k,o,k,m,o,b,e,o,f,o,j,b,l,m,d,b,h,a,h,n,h,c,l,d,k,e,e,k,g,j
a,e,f,k,k,e,d,d,k,o,g,e,c,a,e,e,h,a,n,e,k,a,k,e,m,l,l,c,i,n,f,i,m,h,m,h,k,l,l,h,f,a,j,f,k,g,j,h,h,g
o,n,o,i,a,m,g,e,l,a,d,n,l,e,k,e,l,k,f,h,c,c,e,l,i,h,n,k,d,d,b,i,e,i,j,m,n,k,f,m,b,c,l,g,c,e,l,d,l,i
l,d,k,a,j,j,n,h,f,m,c,c,c,a,n,c,c,a,e,c,i,a,c,h,k,o,j,o,n,e,l,g,g,l,f,a,g,m,a,f,l,i,n,b,j,n,o,k,g,n
k,b,g,h,j,e,c,i,n,a,i,h,n,k,a,e,e,j,h,i,d,j,h,o,n,o,o,g,f,n,f,d,m,f,l,b,i,m,n,k,d,m,l,o,n,a,h,b,e,o
k,m,h,b,i,k,g,h,l,f,g,a,h,m,o,k,o,i,e,g,b,e,c,f,b,c,c,e,o,c,m,c,n,f,a,e,f,m,d,h,o,f,a,j,k,f,d,a,b,d
d,c,a,e,g,a,a,c,a,a,f,k,a,j,n,n,b,e,m,b,d,d,l,m,g,o,n,j,j,l,c,m,g,b,o,a,m,i,n,l,e,l,a,c,o,a,i,h,o,g
k,o,e,a,i,o,l,f,n,e,h,e,a,b,c,f,d,l,c,a,a,b,m,j,h,l,l,l,h,i,a,b,j,k,j,i,g,d,b,m,a,j,g,l,a,l,g,h,i,m
c,m,n,o,c,d,j,l,n,h,i,b,k,o,f,m,a,f,g,o,e,h,f,g,j,l,f,f,a,d,l,f,b,i,e,m,j,l,c,n,o,j,k,a,k,e,i,n,h,n
e,e,b,h,j,d,j,h,m,k,g,n,e,c,m,g,o,b,m,h,d,l,j,e,e,j,k,g,m,d,i,c,f,k,c,d,i,o,c,i,h,j,e,g,l,h,o,o,n,c
k,l,d,o,i,d,e,i,b,a,i,a,e,j,j,h,n,e,i,d,b,k,n,j,l,n,o,k,k,c,j,l,m,e,g,l,k,b,d,m,a,o,d,m,l,c,a,l,f,n
h,j,k,d,g,g,f,n,h,n,l,a,k,l,k,c,e,e,b,m,i,e,i,i,l,c,j,b,g,b,o,d,a,d,e,d,b,g,k,k,n,g,b,g,c,h,d,l,j,k
j,g,f,o,o,i,a,g,c,m,k,i,a,m,b,n,n,g,a,b,d,c,d,d,i,n,j,a,h,l,k,e,j,g,h,b,f,o,f,o,k,i,o,d,b,h,h,c,b,n
m,g,f,l,b,n,g,o,b,n,o,b,h,c,f,h,b,m,b,n,b,f,c,j,l,k,d,k,a,l,o,n,h,e,g,i,a,m,e,f,m,h,g,i,b,d,i,f,l,i
g,j,d,n,i,l,m,l,g,a,h,d,b,d,b,h,f,f,k,k,e,f,k,h,l,f,d,e,o,o,c,k,c,n,j,c,m,f,m,b,b,a,f,g,o,e,a,b,o,f
g,i,h,n,d,b,b,o,h,d,b,f,b,o,c,e,g,i,o,o,k,f,h,e,g,b,j,e,o,l,o,l,j,e,k,k,n,c,f,c,k,b,k,e,k,k,i,d,e,e
h,c,j,c,c,i,l,c,e,e,j,d,k,f,a,i,n,j,j,l,a,o,n,a,d,k,h,i,g,g,m,c,k,b,f,e,j,l,a,i,a,l,k,o,j,n,l,i,c,h
d,e,h,m,k,k,d,m,f,b,b,o,b,d,o,d,e,c,e,b,j,b,o,o,o,e,g,a,l,f,j,h,g,b,m,l,n,d,m,i,b,e,c,o,n,f,d,h,k,g
l,e,h,d,l,m,h,a,o,f,e,g,a,h,n,m,n,a,m,i,e,a,b,m,n,f,d,n,g,c,i,c,n,o,e,m,o,g,i,h,n,k,a,h,g,a,o,j,n,e
i,j,g,i,f,e,i,n,i,g,l,o,o,k,h,e,j,l,n,b,b,o,b,c,g,l,n,l,c,b,d,m,b,c,i,m,j,f,k,c,j,h,h,a,m,l,j,g,h,h
f,k,j,l,a,j,j,d,d,l,f,n,e,i,l,d,g,n,a,l,o,l,a,m,a,i,d,i,m,j,l,l,i,d,f,h,m,l,n,f,l,f,h,i,f,k,o,m,h,g
c,g,k,n,k,l,o,b,j,h,b,h,k,h,g,i,a,i,i,m,m,o,h,k,b,j,e,m,g,g,f,b,d,a,b,c,f,n,c,m,f,l,l,o,d,c,c,m,b,n
k,l,f,o,o,k,i,d,d,o,f,f,m,h,d,j,a,i,m,c,k,h,m,j,j,m,m,f,b,c,j,c,h,f,c,n,h,d,j,f,g,o,h,d,j,a,d,e,h,m
h,o,a,c,o,j,f,k,l,d,m,e,g,k,k,f,o,h,g,c,a,e,m,i,j,c,j,h,e,i,c,h,o,c,j,a,c,o,o,k,k,l,k,l,d,c,l,e,f,m
c,m,i,f,c,n,i,l,n,k,a,l,i,f,m,h,g,o,f,a,k,c,e,m,m,o,a,g,i,j,m,m,d,h,b,c,h,c,j,o,a,h,b,a,k,e,j,k,m,d
h,a,f,g,l,c,d,b,i,j,c,i,b,d,d,o,b,g,h,e,h,l,k,n,b,n,e,o,b,l,n,k,c,c,h,o,b,d,j,a,d,k,c,d,h,f,n,m,i,d
o,e,f,c,e,h,c,j,h,l,m,m,l,d,n,l,j,g,l,l,n,l,c,k,l,o,j,a,a,d,d,n,n,b,d,o,i,l,h,d,d,d,e,g,f,b,b,l,i,l
j,i,c,m,e,m,o,h,e,h,c,a,n,e,c,h,h,f,a,e,d,b,j,l,k,e,l,b,n,m,a,o,d,k,a,d,c,m,g,a,f,o,j,a,n,e,o,m,n,d
m,e,k,e,i,a,g,n,e,h,l,a,h,l,l,n,g,b,d,i,c,c,c,j,d,d,c,e,e,g,d,d,f,m,m,e,k,j,m,b,j,o,i,i,d,l,j,o,o,l
d,e,d,m,d,f,n,a,l,b,j,i,i,h,i,h,i,h,m,b,f,d,g,o,o,l,k,g,n,d,o,f,o,c,d,d,f,i,d,i,f,h,d,a,n,f,m,d,h,o
a,g,m,e,o,b,o,k,f,n,h,m,j,c,m,o,i,d,a,g,e,c,b,n,d,c,g,k,a,i,b,f,h,a,h,o,b,m,c,k,a,d,f,i,m,c,l,d,f,m
c,h,h,l,k,n,o,c,k,m,h,g,d,d,l,n,m,l,k,e,i,n,i,j,k,m,h,m,o,o,e,c,j,i,e,k,i,f,d,i,e,j,a,l,d,i,k,o,b,a
f,l,g,b,h,e,a,c,b,e,c,c,j,d,o,o,h,n,c,f,c,a,i,j,l,d,n,g,d,g,g,d,e,d,m,g,d,c,d,h,e,j,a,j,g,b,g,j,a,m
j,f,d,a,a,n,e,o,l,n,m,n,b,m,a,k,n,b,i,b,f,a,g,a,b,c,f,k,a,g,b,m,o,l,e,j,n,g,l,a,a,n,l,o,a,f,b,a,b,a
d,m,h,n,i,j,i,m,a,j,k,k,d,b,f,g,l,f,h,c,j,k,d,g,b,a,e,h,g,a,b,e,g,i,g,l,d,n,i,a,g,o,o,k,k,i,l,e,o,c
n,a,g,a,l,c,c,k,e,m,b,e,i,l,k,a,k,g,f,e,j,j,b,i,e,i,h,n,d,m,l,g,k,d,d,e,k,l,d,h,k,n,l,l,d,d,g,f,g,f
a,k,b,g,m,k,c,f,a,o,d,k,h,i,c,h,h,m,l,b,f,d,n,e,c,a,a,a,f,i,l,n,b,h,d,m,l,o,e,e,f,b,d,e,d,e,l,d,i,m
l,m,k,j,j,f,o,m,d,k,o,j,g,f,k,l,o,g,o,o,l,k,e,a,e,m,d,i,b,i,j,l,e,i,h,h,h,a,e,m,o,h,h,g,e,b,n,l,e,i
c,n,a,i,h,a,j,c,k,n,j,m,j,b,k,a,o,d,i,c,g,l,m,n,j,h,o,g,e,e,f,e,a,e,h,n,e,a,n,g,b,l,a,f,o,d,h,m,a,n
j,l,k,c,i,h,n,l,f,m,a,c,d,n,i,k,o,i,a,c,l,f,n,e,d,f,k,e,a,i,g,e,c,j,a,c,k,h,j,d,n,k,a,c,e,n,d,j,g,i
e,c,k,d,h,n,a,n,h,j,n,d,j,j,m,c,l,a,i,e,k,n,j,j,d,f,b,k,c,l,l,c,k,d,l,h,e,h,n,d,c,c,k,g,i,i,l,j,c,n
k,g,k,f,b,n,n,m,k,o,k,h,k,e,j,e,i,a,f,m,h,o,d,o,a,m,o,o,a,c,n,d,o,a,j,m,o,m,o,j,d,n,b,i,n,k,l,i,g,c
l,f,n,f,i,a,a,i,o,d,i,h,c,d,j,c,h,d,a,n,b,l,e,h,e,f,e,e,f,l,h,g,o,d,n,h,g,e,e,g,i,l,k,b,f,j,i,k,e,o
h,g,f,m,b,g,f,a,o,c,m,h,j,j,m,b,m,n,a,k,i,f,c,c,l,e,b,b,f,a,o,g,n,b,j,i,k,o,a,h,h,o,a,e,c,i,o,l,n,k
d,j,o,i,f,i,n,e,a,o,l,d,b,f,i,h,m,b,k,o,l,f,d,a,m,d,k,l,a,m,f,b,o,l,g,n,c,d,m,d,i,m,l,d,m,k,j,m,k,e
k,k,d,d,c,b,h,c,l,o,b,h,h,n,i,e,n,k,h,o,j,b,d,m,c,a,a,a,c,o,i,d,b,b,a,g,e,a,b,l,f,g,k,g,c,d,g,e,c,n
i,n,b,i,c,d,i,g,l,k,o,n,b,h,o,k,f,n,i,d,d,k,c,d,g,a,a,d,e,j,l,b,h,d,a,l,o,o,l,l,e,f,f,l,i,g,c,e,l,a
l,m,g,l,c,j,b,n,a,a,k,l,j,o,m,a,l,h,c,g,d,d,j,a,f,c,d,f,m,c,f,h,a,n,f,b,b,h,h,l,a,m,d,m,h,c,d,j,f,l
c,i,k,f,m,a,o,c,m,b,b,i,c,e,j,k,f,j,m,o,n,g,j,k,d,i,m,j,o,n,j,g,b,d,c,i,h,b,l,d,j,e,c,b,k,h,j,d,i,i
i,j,f,o,g,d,d,c,a,f,m,a,i,g,g,d,m,b,m,g,g,b,c,d,h,k,i,b,g,n,g,c,l,j,m,n,j,m,k,j,c,b,h,b,e,g,f,k,b,a
c,e,n,e,o,j,f,o,b,l,f,h,a,j,j,o,h,k,i,o,e,k,j,f,d,o,a,a,f,o,c,k,e,a,d,c,a,a,h,d,l,i,g,b,g,n,b,d,k,b
n,f,i,e,o,i,a,o,i,c,b,g,i,a,a,h,j,f,l,a,o,g,j,d,c,m,l,g,i,m,b,e,d,f,b,n,i,l,e,g,j,c,l,b,k,k,o,a,g,j
k,d,f,i,o,l,l,f,e,i,c,i,a,b,o,g,j,e,d,a,d,f,m,c,o,l,k,n,n,c,n,a,i,h,c,l,h,c,m,n,m,k,e,f,d,i,d,j,c,j
k,l,b,j,n,f,l,m,m,o,n,h,k,h,f,l,k,m,f,m,j,i,j,a,j,l,l,n,a,i,h,a,i,g,a,n,a,c,g,o,h,m,f,c,n,b,n,h,n,n
b,b,m,g,e,o,e,a,m,i,a,k,l,b,h,o,n,n,l,n,l,f,h,a,h,n,l,o,o,k,l,j,n,k,b,c,m,b,n,g,h,g,o,c,i,o,o,d,i,m
