var_1,var_2
a,j
m,c
k,c
e,g
g,d
f,i
f,e
e,o
j,e
o,j
g,f
l,f
j,c
o,a
k,f
c,k
g,a
g,g
a,m
e,c
j,j
j,h
o,i
e,d
o,o
n,o
l,b
f,l
o,k
n,m
j,f
d,e
c,g
n,o
o,k
n,m
d,d
j,d
h,g
j,h
h,c
g,m
i,o
n,b
f,m
i,j
e,i
m,j
o,k
g,d
g,f
e,k
k,d
j,k
h,e
f,c
d,k
n,g
e,e
c,n
c,a
o,l
g,h
c,b
a,n
d,b
j,i
i,m
o,l
f,l
k,c
i,h
d,h
g,k
o,o
h,c
a,g
i,b
g,l
m,j
b,b
l,a
o,n
l,i
b,o
b,c
n,n
d,n
n,i
k,j
g,f
l,l
o,d
h,i
g,g
m,g
m,a
d,o
l,i
e,h
n,j
i,g
f,o
n,j
i,m
i,j
h,l
m,j
k,n
k,d
b,l
e,b
m,o
m,b
a,a
m,g
n,o
i,n
c,b
c,d
c,d
g,m
g,j
c,i
i,a
c,c
o,e
e,i
b,a
h,f
i,j
m,j
f,e
j,a
c,c
e,j
n,k
o,k
m,g
g,h
n,l
l,b
h,g
e,b
n,f
f,j
c,b
b,h
m,c
h,e
d,m
h,b
d,g
m,n
b,o
e,j
n,l
c,i
n,n
k,m
n,c
i,d
e,c
c,d
g,h
d,h
d,j
i,i
i,b
c,a
o,l
d,a
f,m
l,i
k,c
j,g
g,n
k,e
a,a
i,n
f,b
o,o
d,e
k,k
d,e
n,a
i,f
a,l
a,j
o,j
f,c
n,j
h,b
d,h
k,i
m,c
a,h
g,j
g,f
h,i
g,j
f,d
o,n
k,a
j,f
i,j
d,o
m,h
j,j
m,l
j,l
m,l
l,k
j,l
h,k
e,h
h,o
j,e
a,f
a,h
e,i
l,a
j,e
b,b
o,j
h,i
j,b
n,g
m,m
d,e
g,h
g,a
d,m
a,d
g,g
g,h
b,o
g,i
c,b
n,d
c,l
j,e
b,b
o,o
m,j
l,o
f,e
m,i
c,a
l,c
m,k
d,j
m,g
b,c
i,l
g,l
a,k
c,n
e,b
k,j
i,m
a,i
f,d
i,l
a,o
m,d
e,m
l,a
i,h
a,a
o,j
a,o
g,g
h,n
a,m
l,n
m,k
e,m
o,k
c,a
d,g
n,i
j,k
h,m
j,n
a,l
o,e
e,i
d,b
h,m
h,f
c,k
e,h
c,n
g,j
k,d
l,i
e,d
i,e
o,o
a,i
o,e
e,k
n,l
k,k
f,d
k,o
j,d
d,b
o,k
c,i
l,e
a,k
k,k
e,a
k,k
l,b
j,k
h,i
o,b
a,i
g,n
c,m
g,j
k,i
f,l
j,m
e,k
n,j
b,a
o,f
b,c
n,b
j,l
l,e
g,a
j,k
o,c
f,d
i,f
l,n
j,a
a,m
k,m
m,h
g,k
h,m
i,o
c,d
g,f
b,m
i,k
o,d
i,e
f,i
k,d
j,o
i,k
i,k
d,b
k,k
i,e
b,f
g,m
b,n
f,j
l,l
i,f
c,o
k,n
n,e
b,b
k,f
k,a
f,j
l,o
n,d
j,e
h,k
e,i
n,k
n,d
m,m
b,o
b,d
o,m
j,h
h,h
m,i
j,o
o,g
a,f
f,n
a,n
j,b
j,n
d,h
b,h
m,l
k,e
h,i
l,n
i,g
c,d
o,d
j,a
a,b
e,l
i,j
n,l
k,j
m,g
j,d
n,e
g,g
e,e
j,n
j,b
a,d
k,j
j,g
k,d
f,e
n,g
i,h
f,e
l,o
d,c
b,f
i,j
m,e
d,h
o,l
b,k
m,i
e,m
a,f
b,h
b,g
a,i
n,k
e,m
i,k
j,m
f,e
j,e
k,a
k,a
n,j
g,o
j,e
m,l
a,n
g,o
h,e
b,b
d,c
b,n
f,f
k,o
f,o
f,d
g,e
f,f
l,k
b,h
a,k
c,d
c,i
h,n
f,h
l,a
l,l
c,i
b,h
a,j
e,n
j,b
c,l
a,k
j,l
f,l
i,d
j,m
h,b
j,c
b,b
i,h
m,b
m,f
g,m
k,b
f,e
n,n
a,o
g,o
o,c
f,m
d,c
i,i
c,l
j,b
n,n
j,n
d,c
l,k
g,m
c,e
k,f
g,b
l,a
h,f
k,o
c,b
g,a
i,l
k,d
h,d
l,a
j,e
g,g
e,d
j,k
e,g
e,j
c,a
f,b
c,m
l,a
k,k
n,j
m,d
e,k
j,m
e,e
d,j
e,i
c,e
c,k
j,k
k,o
j,k
l,e
h,b
a,f
e,l
g,e
f,g
n,m
a,g
o,j
f,g
k,h
m,o
m,h
l,m
m,a
a,f
i,m
a,m
d,a
j,j
e,j
d,g
h,m
n,i
k,m
g,d
k,h
o,n
k,l
k,g
m,k
e,l
f,j
o,j
i,n
o,a
g,c
g,b
e,n
o,n
o,e
h,e
k,g
i,a
a,a
j,n
k,n
j,d
f,m
e,j
d,k
m,d
f,b
b,f
g,g
j,m
f,g
f,n
g,c
e,c
g,h
n,h
g,e
k,j
e,l
e,a
l,b
o,e
j,g
c,k
h,l
j,h
f,e
d,h
i,g
l,n
o,a
n,a
c,n
a,g
g,j
j,b
h,i
j,m
o,n
k,j
n,h
n,a
m,l
o,e
c,m
d,h
g,o
e,h
o,j
f,j
g,j
o,f
j,o
o,a
e,n
d,c
f,o
i,h
h,n
o,d
f,a
o,a
k,f
b,c
k,f
l,h
m,o
c,o
l,i
n,g
i,b
e,l
c,j
g,o
h,o
e,a
m,g
e,e
h,k
b,l
c,g
i,d
h,k
n,c
h,e
o,i
k,h
l,m
n,d
a,d
a,m
k,a
e,m
m,a
d,m
g,d
c,a
g,f
j,h
j,n
b,a
d,j
c,f
n,h
n,b
e,i
f,c
n,b
e,b
c,m
j,e
i,i
g,n
m,j
h,k
a,e
d,g
j,a
j,d
m,a
h,o
g,g
b,a
m,m
c,n
j,o
n,a
a,d
b,h
b,e
c,d
c,a
b,h
h,m
f,f
n,g
b,f
o,o
i,g
a,c
b,e
m,c
d,m
c,o
f,f
g,h
e,i
j,i
o,j
l,d
g,b
k,o
m,l
e,o
k,o
f,g
h,n
d,i
b,l
f,f
a,j
d,j
l,a
e,j
k,g
l,b
g,g
i,g
f,o
k,o
i,a
h,a
l,l
e,g
e,j
m,h
k,l
c,i
c,b
f,n
j,d
a,d
a,j
m,n
f,o
m,o
i,a
f,j
j,i
f,m
h,e
m,j
b,i
g,n
b,o
m,e
k,f
e,k
k,a
g,a
i,g
n,o
b,d
l,i
f,m
c,b
o,h
g,l
e,b
h,f
a,i
g,c
a,h
g,o
n,a
a,o
k,g
d,o
l,o
k,m
i,d
j,f
i,c
m,c
o,k
b,g
j,b
b,e
i,f
f,k
f,m
l,g
o,l
h,n
a,h
k,j
a,a
a,j
k,l
n,d
a,e
j,m
i,e
k,d
d,o
n,i
j,k
m,a
m,g
b,n
g,c
e,i
i,d
i,i
m,g
d,j
e,g
e,g
k,o
m,n
k,i
b,g
b,i
l,a
j,a
e,o
f,n
k,e
n,b
f,m
g,e
h,b
k,h
a,n
h,e
g,n
i,m
o,k
f,e
l,b
n,h
d,l
d,f
l,n
d,m
m,b
e,f
a,g
k,e
o,a
g,i
i,n
k,n
a,i
h,b
a,d
e,h
g,l
l,d
a,m
o,e
j,n
n,n
a,n
j,e
j,m
g,l
g,l
c,b
b,e
h,k
o,b
d,h
o,o
j,k
a,g
d,m
k,k
b,f
e,i
a,f
d,o
k,b
j,f
g,a
o,e
g,a
m,f
i,h
a,b
d,d
k,k
c,i
l,o
b,a
f,b
b,l
o,n
i,d
n,o
b,o
b,c
b,d
o,j
h,e
n,h
a,e
d,a
g,h
k,c
g,b
m,g
n,g
o,c
m,b
d,h
l,n
f,o
k,l
j,g
n,k
o,c
f,a
a,n
a,i
o,h
g,i
i,l
g,g
h,d
k,b
d,e
h,n
j,l
o,g
k,g
h,i
i,e
l,b
f,k
n,g
i,n
k,a
n,g
j,d
k,h
f,n
l,m
j,n
e,a
h,f
b,n
n,a
i,f
e,m
h,a
f,d
h,a
f,n
b,j
c,c
c,d
m,o
n,n
b,f
e,o
g,a
n,o
e,c
o,c
n,h
o,b
o,l
h,h
i,h
j,c
j,l
e,i
e,o
b,o
i,h
j,m
i,d
n,a
a,f
h,b
l,j
f,l
h,g
i,f
m,c
b,o
i,k
a,e
d,f
a,g
d,i
b,j
b,l
g,d
m,e
g,o
m,d
f,a
l,k
f,b
n,d
b,o
m,b
e,n
l,n
l,i
d,m
j,b
n,m
o,a
i,g
o,e
c,e
m,m
o,n
k,o
f,j
f,g
e,n
o,j
i,c
o,h
k,i
h,a
a,e
i,i
h,c
o,i
a,o
g,k
a,d
d,m
b,i
k,l
o,g
e,e
c,a
e,k
i,h
l,f
g,i
m,f
j,m
n,e
n,j
c,o
e,n
h,k
m,h
b,h
i,j
n,i
b,h
n,a
d,j
f,d
h,j
b,i
h,k
j,e
b,j
h,j
k,i
h,h
g,d
l,k
o,l
m,d
e,d
e,i
b,a
g,i
d,d
a,d
i,a
i,c
i,j
e,m
k,n
o,l
m,f
c,g
h,i
e,o
h,n
l,l
o,m
i,k
o,l
f,h
d,d
d,h
h,i
i,k
i,c
o,j
b,f
g,h
n,j
b,d
b,e
o,h
m,l
m,e
o,h
l,j
d,k
a,o
k,d
j,g
l,f
g,c
e,n
d,d
g,o
o,f
m,k
m,o
c,m
m,f
l,i
d,o
d,l
c,m
d,g
o,n
b,k
l,l
n,f
a,n
m,n
e,d
e,g
i,a
d,g
c,c
a,n
j,k
j,m
e,j
g,h
f,k
l,b
h,o
k,n
d,l
c,e
m,d
c,l
i,l
o,m
g,i
h,f
c,k
k,d
f,o
c,d
c,b
h,a
m,n
h,l
f,a
f,f
c,i
d,b
d,f
b,f
e,h
i,a
f,b
k,l
m,a
h,j
k,c
n,o
e,n
d,l
j,n
i,d
g,n
b,k
f,a
g,f
k,h
g,g
g,g
d,m
d,j
n,o
f,k
n,c
e,o
c,a
c,g
j,c
c,i
g,n
e,o
n,d
i,b
h,d
e,e
g,d
d,d
g,n
g,j
b,l
b,e
f,n
e,f
l,b
j,k
k,n
a,k
a,l
b,k
l,o
a,a
b,l
h,k
l,n
e,k
d,i
e,a
c,d
b,h
l,c
j,k
b,b
b,a
m,l
m,e
m,i
f,c
j,k
a,g
f,j
e,d
c,m
h,o
h,k
j,m
b,a
m,e
g,b
h,g
b,c
h,e
c,a
h,k
l,o
i,j
l,b
c,i
f,k
i,o
i,g
a,c
m,m
o,d
d,j
o,m
l,i
i,n
m,n
d,k
j,c
o,m
a,o
c,a
f,g
f,a
c,l
a,c
n,l
d,g
a,g
c,d
k,e
n,b
o,a
o,j
l,k
m,n
n,f
d,o
m,n
m,o
b,m
e,b
n,m
f,g
l,g
k,m
n,f
g,f
f,n
b,d
e,l
e,i
k,k
k,j
n,k
o,c
f,n
g,d
m,n
c,h
b,k
a,a
d,m
n,m
d,j
i,h
o,n
a,j
j,o
c,k
b,h
g,f
m,e
k,b
h,b
i,j
l,e
o,k
f,k
j,k
f,j
n,o
j,m
n,d
g,j
j,h
a,o
g,j
e,b
f,k
k,a
j,d
l,j
l,n
l,f
j,d
c,b
b,i
i,a
l,k
f,g
j,c
h,c
b,k
n,k
e,h
i,j
n,o
o,c
g,f
h,m
o,n
j,e
i,m
m,i
k,h
d,c
l,f
b,f
m,g
i,d
d,g
g,i
h,e
j,h
n,c
k,b
e,o
e,o
b,k
e,n
n,b
o,d
o,d
g,d
f,m
o,a
b,e
e,f
o,m
h,m
f,c
o,o
e,o
n,n
l,o
b,f
h,k
l,o
b,g
j,n
e,j
j,c
k,k
k,j
j,o
f,g
h,b
c,g
m,c
n,n
o,a
d,l
j,a
n,i
i,e
a,i
g,h
l,f
f,n
n,a
f,e
a,o
f,c
n,i
j,j
l,l
e,n
k,k
l,n
n,e
h,n
d,f
h,k
o,f
a,a
l,e
m,e
a,f
h,o
b,c
o,b
o,a
j,c
f,k
b,e
k,c
d,l
e,b
f,j
i,l
g,c
d,m
a,k
l,n
i,g
e,a
l,i
j,c
m,e
e,d
f,j
i,f
g,k
n,j
n,m
h,h
f,e
d,c
c,m
o,i
g,k
m,o
a,j
e,a
h,n
e,h
i,d
e,g
j,h
j,c
f,l
i,b
m,e
k,c
e,o
i,b
n,h
f,d
i,a
l,b
g,k
c,g
m,o
e,e
j,i
l,c
i,g
c,i
n,h
l,a
b,i
c,b
o,g
a,a
o,l
m,c
n,m
b,c
f,k
f,e
j,f
i,n
i,l
a,n
b,h
e,n
o,i
j,j
h,f
i,k
k,l
f,m
n,i
h,b
g,l
d,e
m,n
a,g
c,g
g,c
g,j
m,g
n,f
n,a
i,e
g,k
n,k
l,o
e,a
o,i
k,n
n,h
j,d
n,c
f,c
n,d
i,c
o,h
b,o
g,f
c,b
a,n
m,d
o,b
e,d
g,a
m,e
a,j
n,g
o,a
l,l
i,i
m,f
j,o
l,j
n,b
h,d
b,m
o,g
e,g
o,j
c,i
h,i
e,a
n,g
l,g
k,j
o,h
c,f
m,f
a,c
m,f
k,b
k,c
l,o
g,k
g,g
k,o
m,e
a,n
a,m
k,m
n,j
f,k
f,m
a,i
e,f
l,i
f,o
d,l
b,j
g,e
j,b
i,h
j,a
c,c
j,h
g,j
k,a
d,d
g,a
j,g
h,j
e,a
a,m
h,h
h,k
n,g
j,f
c,m
a,b
g,g
m,n
n,g
b,c
l,d
h,h
c,f
b,l
k,n
e,d
d,g
k,h
g,a
o,g
j,k
o,d
d,h
g,n
f,l
a,o
i,f
d,d
m,h
c,a
d,n
f,m
n,h
i,n
e,f
k,l
n,c
f,h
k,b
f,l
d,i
i,k
j,g
m,j
i,l
i,b
c,h
k,h
e,o
a,h
j,c
m,a
f,o
b,g
e,i
j,d
k,i
o,k
c,d
b,g
a,h
a,b
f,a
d,k
c,o
a,m
a,n
g,e
n,h
k,d
h,l
f,i
k,f
f,a
c,d
n,i
h,k
c,i
l,a
h,a
e,c
f,f
i,l
f,j
h,g
l,j
k,d
m,j
e,b
b,a
o,h
h,n
k,o
e,l
a,m
d,l
h,f
i,o
h,b
e,f
a,a
e,h
i,k
e,h
l,i
j,i
d,j
h,m
g,c
e,d
m,b
e,l
i,f
i,a
a,f
j,o
n,f
i,g
m,o
c,i
j,g
a,d
l,a
b,m
b,d
n,i
f,l
n,f
i,f
a,b
l,n
g,c
j,j
m,e
l,j
f,i
e,g
h,a
k,i
l,n
e,n
o,f
d,c
i,c
m,k
j,d
m,b
g,l
i,n
n,e
n,e
a,f
h,m
f,o
i,o
k,g
i,f
i,k
b,a
c,d
k,o
l,l
g,e
f,m
m,g
c,n
b,k
i,m
k,h
k,f
b,b
b,n
m,i
j,h
i,e
i,h
k,o
h,m
f,h
h,b
m,a
c,g
o,d
i,k
d,i
a,f
e,i
o,i
n,c
o,j
e,l
d,a
c,i
c,h
c,h
k,f
i,j
o,l
b,g
i,a
l,j
a,a
h,g
n,f
g,o
l,m
d,l
n,o
c,e
e,b
g,l
g,d
b,o
i,h
c,c
f,o
k,h
i,c
f,j
e,n
m,n
i,h
c,f
f,n
g,d
a,i
k,h
m,j
e,m
n,a
i,k
i,b
o,k
b,h
i,k
a,d
k,c
i,n
m,f
c,l
k,m
g,m
d,c
e,g
g,g
m,i
c,c
j,g
n,c
b,l
h,f
j,i
d,l
h,b
b,m
g,n
b,b
e,o
j,d
m,i
l,l
j,e
m,l
c,o
b,b
k,o
c,d
m,n
i,n
m,i
i,o
e,c
g,m
k,i
f,l
i,h
d,g
g,c
a,k
b,c
n,f
a,j
k,o
o,l
b,n
h,o
o,m
g,d
g,g
e,k
g,j
o,c
e,j
m,l
j,i
e,d
c,f
c,b
e,f
e,l
n,l
d,i
i,k
i,g
o,i
m,h
m,o
d,c
j,k
f,e
b,i
b,h
j,e
e,m
h,f
n,m
f,b
g,b
e,k
g,h
m,c
a,c
m,i
f,l
e,f
l,c
m,n
e,g
c,h
k,a
c,j
m,b
a,h
l,a
k,j
a,i
n,m
j,b
a,f
a,n
o,n
e,b
f,g
h,g
c,b
e,m
f,e
f,j
m,g
o,n
b,k
b,j
n,b
a,j
j,m
n,f
o,d
m,j
o,b
n,f
k,b
h,n
f,d
e,k
g,n
j,j
l,j
j,b
n,c
j,h
n,f
d,o
m,n
j,f
k,n
a,c
c,e
c,j
i,c
n,b
g,d
e,k
a,k
i,h
j,j
i,j
d,i
b,d
k,k
m,i
f,l
g,e
k,c
d,j
n,b
i,j
n,b
l,h
k,m
k,i
g,m
h,c
h,m
m,c
a,i
b,c
l,j
k,a
k,f
b,o
b,d
f,j
l,i
i,a
e,b
j,a
o,i
e,b
n,j
h,o
l,b
l,h
b,k
i,i
e,c
k,d
o,m
k,n
l,k
k,e
b,m
n,h
e,a
c,j
f,f
i,g
l,e
a,m
n,n
f,h
b,g
a,f
a,c
h,f
i,g
i,k
e,l
a,j
m,f
a,b
b,o
m,d
h,o
f,j
l,h
d,j
c,d
f,j
k,j
c,j
a,j
a,j
h,n
b,h
i,c
d,e
b,f
e,n
e,m
m,c
c,c
m,l
e,h
a,h
a,e
h,b
o,e
l,l
n,j
b,f
c,n
d,b
l,m
b,g
h,l
m,o
n,i
a,h
m,k
h,n
k,h
h,d
g,a
f,k
d,j
j,f
l,e
k,l
c,a
d,l
k,o
f,g
j,g
k,d
b,a
c,f
e,m
l,m
f,h
h,b
g,m
i,g
e,a
e,k
g,j
b,o
c,j
e,e
j,j
j,d
o,f
m,g
e,e
k,l
j,b
g,j
d,m
k,d
o,l
l,c
d,d
g,b
j,i
d,e
e,b
i,l
f,o
f,m
k,c
d,b
c,m
f,o
e,e
d,n
i,o
d,c
e,d
j,a
m,c
b,i
m,h
o,l
o,i
n,g
n,f
n,i
j,b
j,b
h,f
n,m
a,d
b,o
k,d
n,a
d,o
g,d
a,f
m,a
o,d
j,o
f,l
f,g
c,m
o,n
g,g
n,n
l,o
m,j
i,n
j,f
k,l
b,l
k,b
k,d
l,f
e,d
b,n
n,e
f,f
a,k
c,n
j,n
m,i
e,f
f,c
c,l
d,i
l,g
d,e
f,m
h,h
f,d
o,i
f,g
m,m
g,o
d,c
l,n
a,k
g,m
o,l
j,f
o,h
i,a
o,m
j,l
o,a
m,e
b,m
b,j
l,m
h,c
c,l
a,b
i,h
h,f
i,b
l,l
c,f
e,f
h,e
e,o
i,e
k,g
e,n
l,h
a,n
o,i
d,c
f,f
f,d
n,l
b,m
n,m
i,f
n,o
l,d
i,l
g,c
g,d
a,b
d,k
h,g
i,m
a,h
a,o
o,a
d,o
j,i
g,b
d,h
g,c
b,l
b,o
a,f
n,o
l,j
b,k
m,i
o,g
o,d
l,k
e,f
n,h
i,e
a,i
d,a
i,e
h,b
i,l
j,o
g,m
l,o
m,g
c,d
c,j
b,i
f,d
d,e
f,j
c,g
b,f
i,m
e,c
c,o
d,m
l,l
k,e
o,f
g,j
j,h
a,b
d,f
b,j
d,l
k,h
a,f
h,k
j,h
m,b
c,h
i,d
l,m
h,b
j,h
e,h
k,h
m,i
e,c
m,c
j,d
j,d
j,e
d,b
n,l
e,d
f,c
j,g
m,l
a,m
b,m
g,b
k,k
n,e
e,f
g,m
m,b
e,k
j,f
k,g
b,i
e,h
n,d
h,g
n,k
l,c
m,f
c,n
n,j
i,a
h,b
c,l
i,e
n,d
o,k
m,b
n,n
e,b
f,k
f,o
e,j
l,n
o,g
f,c
c,g
d,l
m,g
e,m
d,f
h,m
l,h
i,j
a,k
a,i
m,g
h,m
g,e
k,f
f,d
j,n
g,f
k,g
j,o
n,k
l,m
n,i
m,k
h,n
f,f
c,g
h,n
k,k
d,c
g,a
i,b
d,f
a,m
c,n
f,c
h,o
o,a
b,m
l,b
g,i
o,f
o,j
n,n
k,h
i,i
c,h
g,d
i,n
b,n
c,e
d,b
g,k
k,h
c,j
m,k
m,m
n,l
o,d
a,i
k,c
f,o
l,i
m,e
a,h
h,g
g,g
e,h
l,f
c,k
h,b
n,i
d,o
k,f
b,k
m,j
c,h
m,e
n,k
i,g
f,i
d,o
l,o
i,d
j,g
m,h
l,m
k,n
k,h
g,n
c,l
f,b
b,k
h,a
l,m
d,l
k,e
e,j
i,j
k,h
f,n
k,h
c,l
j,c
a,f
j,n
k,f
a,h
m,k
b,b
b,d
c,o
f,f
d,a
k,i
f,l
c,b
i,c
m,h
m,g
f,k
b,d
i,l
i,f
c,f
o,d
f,a
i,f
c,i
l,k
i,c
n,f
e,k
a,k
h,h
i,n
j,d
o,a
j,c
f,e
f,m
n,a
l,k
n,h
m,h
n,m
a,g
o,l
e,j
g,d
m,b
m,a
a,d
e,j
j,n
m,b
o,o
n,a
m,l
e,f
i,o
c,f
j,c
k,i
h,n
c,d
a,l
b,h
j,i
l,e
b,l
n,l
m,o
k,m
o,f
e,e
n,l
d,d
o,g
g,h
e,h
i,c
k,b
k,e
b,g
l,e
d,e
a,j
c,g
a,b
g,d
d,d
k,e
e,d
a,b
i,e
d,n
g,e
n,a
c,k
b,b
b,k
c,n
a,o
g,j
g,a
g,h
g,f
d,j
m,a
g,j
i,j
l,b
l,l
h,m
n,g
j,m
c,n
c,e
d,e
m,m
e,l
e,d
k,i
b,g
l,n
a,m
m,o
a,f
a,o
m,k
j,b
o,i
m,l
c,d
g,k
l,b
e,h
b,a
e,h
k,i
e,i
n,j
e,m
d,h
k,d
k,n
a,n
l,o
i,e
b,l
n,l
d,d
b,d
k,k
a,j
h,o
g,h
k,k
m,f
a,a
n,e
a,k
f,l
j,l
b,g
c,l
j,e
f,b
b,j
g,c
k,g
j,m
c,b
d,d
n,h
o,i
m,b
n,n
f,k
o,k
d,m
j,o
a,o
o,d
b,a
k,j
m,h
g,f
k,a
d,j
f,d
n,o
k,b
a,g
a,m
o,a
c,i
m,n
o,c
j,m
c,j
h,j
h,a
k,h
o,o
g,a
a,d
d,f
i,k
f,o
f,g
e,d
b,d
h,j
e,j
l,f
i,i
b,c
n,i
g,a
d,n
g,g
c,i
e,j
f,l
i,f
n,f
h,i
g,g
l,e
j,e
d,m
o,j
b,d
g,o
k,a
f,j
f,k
i,i
e,o
g,l
b,d
g,a
l,c
e,f
a,o
k,e
f,a
c,i
e,l
i,n
l,l
m,l
j,e
e,c
o,c
d,a
m,n
b,e
o,l
b,g
j,n
o,b
h,e
k,o
d,l
a,a
k,j
n,d
h,h
l,a
a,i
h,o
n,n
i,c
a,e
o,e
n,k
b,i
