var_1,var_2,var_3,var_4
e,f,d,c
c,d,f,e
d,c,e,b
d,e,e,d
d,e,c,f
a,c,d,c
c,c,e,a
c,b,a,c
f,b,f,e
e,a,e,f
b,a,b,a
b,e,b,f
c,e,f,a
e,e,f,c
f,c,f,b
f,f,f,d
e,b,f,a
b,e,b,e
a,b,e,e
e,e,a,b
e,a,b,d
c,f,d,f
a,d,d,f
d,b,d,b
a,d,f,a
b,f,c,f
a,f,c,b
e,f,a,a
c,d,c,d
e,d,b,d
f,f,a,d
a,e,b,c
f,d,d,f
d,c,a,d
c,d,d,a
f,b,b,b
a,a,d,a
e,e,e,a
f,c,d,c
a,c,d,c
e,c,a,d
e,d,a,a
a,b,c,e
d,b,c,f
e,c,b,c
c,c,b,f
a,c,a,a
f,c,f,f
d,b,e,a
e,f,f,e
b,b,a,f
c,c,c,e
e,c,e,c
d,b,f,a
e,c,d,a
f,a,b,e
b,c,b,a
f,d,a,b
f,e,b,e
d,f,e,b
b,c,e,e
b,a,d,d
a,b,a,f
c,f,f,c
a,f,b,d
b,e,c,b
f,a,f,f
d,b,d,a
d,c,e,a
f,e,a,f
f,c,e,e
b,c,c,c
f,c,b,b
d,f,a,f
e,e,b,a
f,c,e,a
e,a,a,a
f,e,f,b
d,f,d,a
f,c,c,b
a,b,f,e
f,d,c,b
a,f,b,b
d,e,a,d
b,c,d,b
d,d,a,f
e,c,d,f
f,d,c,d
a,e,e,d
c,f,d,e
e,b,f,f
d,c,e,f
e,b,b,c
e,c,e,d
c,a,f,c
c,d,e,c
c,f,e,a
e,d,b,d
f,e,e,b
f,e,d,d
d,c,e,f
a,f,e,b
d,e,e,a
a,d,f,f
e,f,c,d
a,e,f,f
f,e,a,e
e,f,f,a
f,f,d,f
c,a,a,b
a,f,e,f
a,f,c,b
c,d,c,d
b,c,d,b
a,b,c,a
c,c,b,d
e,c,a,a
a,a,e,e
d,a,f,c
f,d,c,f
f,c,a,e
e,d,e,a
b,e,e,f
b,f,f,b
e,c,f,e
c,b,d,d
b,d,c,e
c,a,c,c
b,f,c,b
d,a,f,c
a,d,b,c
b,b,c,f
d,d,a,b
e,f,b,e
c,d,b,b
a,b,f,a
c,f,e,f
d,f,b,d
a,c,f,a
e,b,b,e
e,c,a,a
e,c,f,c
d,f,d,d
a,a,c,f
f,d,e,b
f,c,e,b
c,b,d,a
b,b,b,b
a,b,f,b
b,c,f,b
c,b,c,a
f,b,f,d
d,f,f,d
b,f,d,f
a,c,a,b
c,b,b,d
f,f,f,f
d,e,f,c
c,b,f,d
b,b,b,e
b,e,c,b
c,a,e,a
c,b,a,d
a,a,e,f
d,f,e,d
d,c,a,c
f,a,b,a
c,e,c,b
d,b,f,b
a,c,b,b
d,c,e,b
b,e,f,d
d,b,a,a
e,c,a,a
d,f,e,d
f,c,b,f
a,e,c,c
c,a,e,b
b,a,c,b
f,a,b,e
a,d,f,c
d,e,b,a
b,e,c,a
d,d,d,d
b,f,c,e
d,d,a,b
c,a,d,b
d,d,a,f
f,b,f,e
d,c,f,b
e,c,c,f
a,e,c,f
f,d,f,e
f,c,e,e
c,e,f,d
e,c,d,b
f,c,e,e
d,b,b,f
f,c,f,a
f,a,d,c
e,e,c,f
e,b,a,c
e,b,c,a
c,b,c,a
c,e,a,c
e,f,c,e
a,c,b,c
a,e,a,f
f,b,b,b
f,f,c,d
b,e,c,c
e,b,f,c
d,b,d,f
d,d,e,a
e,a,c,f
e,d,a,f
b,f,b,f
e,c,a,f
f,e,f,a
d,c,a,d
b,b,e,e
d,d,b,e
e,e,d,b
a,f,a,b
e,c,e,f
a,d,a,e
b,a,d,b
f,d,a,d
b,f,b,f
e,f,e,b
e,e,e,f
d,e,e,b
a,e,f,f
b,a,c,b
e,b,f,a
d,f,a,f
f,d,f,c
c,b,b,e
b,b,d,c
a,c,d,b
e,c,b,b
c,b,c,e
c,c,f,c
a,f,c,a
c,f,e,a
e,c,e,f
b,d,e,b
f,f,c,d
b,c,b,b
c,d,a,d
f,c,b,f
f,b,f,e
a,d,d,c
d,f,a,e
e,c,e,d
b,a,b,e
f,a,d,d
b,e,d,e
e,b,c,e
f,f,b,d
f,d,e,e
c,a,a,c
c,c,c,c
d,e,b,e
d,c,f,a
e,a,e,c
f,a,d,c
f,b,a,a
a,a,d,e
f,d,a,d
d,f,b,e
e,d,f,f
b,c,a,d
e,e,b,b
c,c,e,c
f,e,e,c
e,a,f,f
c,b,a,d
b,e,a,b
d,b,c,b
b,b,b,f
c,c,d,a
a,e,c,f
a,d,d,e
c,b,d,c
b,e,d,a
a,b,b,a
d,e,e,b
e,b,a,a
b,a,a,d
f,c,f,c
c,b,f,e
f,d,a,c
c,c,f,d
e,b,d,d
a,e,c,d
b,d,a,e
e,d,a,d
a,b,c,e
d,a,b,a
b,b,b,f
f,d,b,d
e,e,b,d
b,c,f,e
a,e,c,f
c,e,a,c
d,c,e,f
c,c,b,e
b,a,b,d
e,b,d,c
f,e,c,c
a,a,b,e
f,b,b,b
f,e,a,a
e,c,a,f
c,c,c,b
e,d,b,b
b,c,d,d
d,f,c,a
f,b,a,b
c,c,f,a
b,c,c,a
d,c,b,f
b,f,a,a
d,e,f,b
a,a,f,d
b,d,a,e
d,e,f,c
f,c,d,e
f,e,b,c
d,a,c,f
c,c,c,e
c,e,f,b
c,f,e,d
d,e,e,a
c,c,e,c
f,d,c,a
f,d,d,b
e,d,e,f
b,e,f,d
a,c,d,b
a,c,a,d
b,d,a,a
e,b,c,c
c,d,a,c
d,e,e,a
c,f,b,e
a,c,b,a
d,e,d,d
d,a,f,c
b,a,a,a
e,e,b,f
e,f,f,a
a,e,f,c
f,f,d,a
d,e,d,c
d,f,d,e
c,c,c,e
f,c,d,d
c,d,c,e
f,e,a,d
a,c,e,c
e,f,b,c
c,d,c,f
a,d,b,d
f,e,d,a
c,f,a,c
f,a,e,c
c,d,f,d
a,d,a,d
b,c,a,b
c,c,a,f
d,b,d,b
a,d,b,a
c,f,a,e
f,f,e,f
e,a,e,c
c,d,a,d
c,f,a,e
c,b,e,f
b,a,d,d
b,c,a,c
e,a,d,a
b,f,d,f
f,f,b,d
e,c,b,e
b,c,f,f
b,f,b,b
e,b,d,c
b,e,d,e
b,f,e,b
e,b,e,c
f,a,b,f
d,d,b,f
b,a,a,f
e,c,b,f
d,b,f,b
c,b,d,b
e,d,e,c
b,d,d,c
c,c,d,e
d,c,c,e
e,e,a,f
f,d,e,a
f,f,a,e
b,c,b,f
e,c,e,f
b,d,c,e
c,a,b,d
e,d,c,a
d,f,c,c
d,e,f,f
a,c,c,a
a,e,c,d
f,d,d,d
e,e,f,c
f,d,a,e
e,f,e,c
d,e,a,d
e,b,a,d
b,f,d,c
f,a,c,c
e,a,a,d
f,c,b,e
a,b,b,d
c,a,d,d
c,c,f,b
d,f,c,f
e,d,c,a
a,e,b,f
e,e,e,c
d,d,e,b
d,b,a,c
c,c,c,b
f,c,f,d
c,b,a,f
c,a,b,c
c,d,c,a
d,a,a,d
e,b,d,f
f,c,d,e
d,f,c,f
f,d,d,f
d,d,e,d
b,d,d,c
b,a,a,c
e,b,a,b
c,c,e,c
d,f,c,e
b,c,c,b
f,b,c,a
d,f,d,b
f,e,a,f
d,a,c,d
b,b,d,c
d,e,e,a
d,c,a,c
e,a,f,a
c,f,c,a
a,a,b,a
e,c,b,f
c,b,d,b
b,e,e,c
f,d,b,f
c,d,a,d
e,c,b,e
d,b,c,b
c,f,b,f
b,a,b,b
f,c,d,b
c,a,e,e
b,f,f,f
d,a,e,b
e,b,f,c
c,e,d,f
c,f,e,a
e,d,a,e
e,c,f,f
a,c,f,e
f,f,b,d
a,a,c,c
a,a,b,d
e,d,a,e
b,d,e,f
c,f,f,a
c,b,d,c
b,c,d,c
c,b,a,e
c,a,d,c
e,f,d,c
f,f,c,a
c,e,c,f
e,e,d,e
c,e,f,d
b,d,e,f
e,d,c,c
d,b,b,b
b,d,a,d
c,b,d,a
e,e,d,f
d,f,f,f
a,b,f,e
b,b,f,e
b,d,c,b
a,d,c,a
b,f,f,f
f,b,b,a
e,a,a,a
c,e,a,e
f,d,c,f
f,c,e,f
a,f,d,d
d,b,a,d
d,f,c,a
c,b,a,e
b,d,f,e
b,c,b,b
e,d,d,e
b,f,c,b
c,f,b,d
f,a,a,d
d,c,f,e
d,c,e,a
b,e,f,c
b,f,d,a
d,f,e,b
c,f,b,d
b,c,c,f
b,b,e,e
a,b,e,b
d,f,a,a
b,d,f,e
b,b,d,a
c,e,e,a
f,d,f,f
a,d,a,a
a,b,c,d
b,f,c,f
e,d,e,c
b,f,c,b
a,d,e,a
c,b,a,e
f,d,e,f
c,e,e,b
c,c,c,a
a,b,d,a
a,a,e,e
b,e,a,b
b,d,a,f
c,d,d,e
d,d,e,a
a,e,f,c
d,b,d,d
c,d,f,c
b,a,f,e
a,e,a,a
c,c,d,b
f,a,f,b
d,a,e,f
c,d,e,d
d,b,d,c
c,f,f,a
c,b,b,e
d,d,c,a
a,d,f,d
b,b,c,a
b,a,d,c
e,c,b,e
e,e,a,d
c,b,b,c
d,c,a,f
a,a,d,d
e,c,d,b
f,c,d,d
e,e,c,a
a,c,c,f
a,f,f,f
b,e,b,e
d,a,c,c
e,d,e,a
c,b,c,d
c,e,d,b
b,e,b,b
b,c,f,d
b,f,c,c
f,f,b,d
a,b,b,a
e,c,a,d
a,d,e,a
c,e,f,d
b,e,f,c
d,b,d,d
d,e,a,c
f,e,a,b
d,b,e,c
a,d,f,a
e,c,d,b
f,b,b,d
d,f,a,f
c,d,b,c
a,f,e,f
b,d,b,b
c,c,f,f
c,f,b,b
d,a,c,c
e,c,e,b
a,a,b,f
f,a,b,d
b,a,a,d
a,b,e,d
e,d,d,f
f,a,f,a
e,d,d,f
a,c,c,c
a,f,c,f
f,b,f,d
a,e,d,e
a,c,f,f
c,b,c,d
a,d,d,e
b,d,b,e
e,f,e,f
b,d,a,a
c,c,b,d
d,e,c,c
b,e,c,b
e,f,e,b
e,e,d,b
c,c,e,c
f,a,f,f
a,a,d,d
a,c,d,a
d,a,f,c
b,c,c,f
f,e,a,a
d,e,a,b
e,b,c,a
a,c,b,e
f,a,c,e
c,b,c,a
a,b,d,d
f,c,d,a
e,a,b,c
c,e,d,a
b,e,e,f
e,f,e,d
f,a,d,e
a,e,f,e
e,f,e,d
e,c,a,a
c,b,f,e
e,c,f,a
f,d,a,e
f,b,d,f
b,c,f,a
e,d,c,d
a,b,e,f
f,a,e,b
a,a,c,c
f,f,d,c
c,b,c,e
b,c,b,c
c,d,d,d
f,d,b,e
e,a,e,a
c,d,a,d
e,e,d,e
b,a,e,d
e,a,c,d
b,c,b,c
f,b,f,b
b,f,e,f
f,d,e,d
e,d,a,b
c,b,d,d
e,c,b,f
d,b,a,c
c,f,d,b
d,f,b,a
d,c,d,d
d,e,b,f
d,e,b,a
c,e,a,f
e,c,d,d
b,b,b,e
d,a,c,d
b,b,e,c
a,e,c,c
f,d,c,f
f,d,a,b
f,f,a,b
d,f,d,e
b,f,f,b
f,c,f,f
b,d,a,c
f,d,b,f
d,b,c,d
a,d,f,f
b,a,b,d
b,f,f,f
a,f,d,e
d,c,e,d
f,e,b,e
f,e,f,c
e,c,c,f
f,f,f,c
d,f,d,e
a,c,a,b
e,a,c,e
b,f,e,a
f,c,f,d
e,a,b,e
a,c,b,e
a,f,e,f
f,f,d,e
d,d,e,e
e,e,d,d
f,e,a,c
f,c,c,c
a,a,c,d
a,a,d,f
e,b,d,c
d,b,e,c
e,d,d,c
b,b,c,c
a,c,c,b
c,d,a,d
c,e,b,d
b,b,f,b
c,b,b,a
e,a,b,d
f,d,a,b
f,b,a,a
d,e,c,c
e,e,b,a
e,c,e,d
b,e,d,b
a,d,e,b
c,b,a,e
c,d,a,f
a,f,e,a
c,c,d,e
