var_1,var_2
e,e
e,e
d,d
b,c
c,c
c,f
a,f
f,f
b,e
e,c
c,e
d,f
f,e
f,e
a,a
a,e
d,d
c,c
a,b
c,c
e,f
e,a
f,a
c,c
a,c
e,e
b,d
a,e
a,d
b,c
c,e
c,f
f,e
e,c
f,a
a,c
f,b
f,d
c,d
a,d
b,f
f,f
e,d
a,b
b,b
c,f
e,e
b,d
e,f
e,e
d,d
e,e
f,b
b,b
b,c
c,b
a,b
e,c
a,b
d,e
f,b
f,f
c,b
b,c
b,a
a,c
a,a
d,f
b,f
b,b
c,b
f,d
d,b
d,b
b,f
e,f
f,a
e,f
e,d
f,a
d,b
b,c
d,b
d,f
c,e
f,e
f,a
b,f
f,c
c,d
d,b
c,c
a,e
d,b
b,e
e,f
a,a
d,b
b,e
e,c
a,d
c,a
e,e
e,b
c,a
e,f
f,d
e,f
d,e
d,b
f,d
c,c
c,b
e,b
a,e
e,b
d,d
f,e
e,d
d,e
f,f
a,d
f,e
f,e
f,f
d,f
c,e
a,e
d,d
a,a
a,d
e,f
c,b
c,e
c,d
a,f
f,e
b,f
d,c
e,d
e,d
f,c
f,c
d,c
a,c
a,a
d,b
e,e
d,f
e,d
e,f
a,b
e,e
d,e
d,a
b,d
a,d
b,e
f,f
c,c
a,c
b,a
c,c
d,b
c,e
e,c
a,b
a,d
f,a
c,a
a,d
a,c
e,e
f,d
f,b
f,f
b,b
e,d
a,e
d,f
e,d
e,d
e,b
a,a
e,a
a,a
a,b
d,e
a,b
b,f
d,d
e,d
a,f
f,d
f,a
e,f
f,b
b,c
c,c
f,a
f,c
b,c
c,c
b,b
f,e
d,b
a,b
c,e
e,e
f,d
d,c
a,d
e,c
c,d
b,e
a,d
d,d
b,f
d,a
c,c
b,f
b,b
c,e
e,a
d,a
e,e
d,a
e,d
e,c
a,a
a,c
a,f
e,f
d,f
b,e
c,a
b,f
d,e
d,b
b,b
c,b
e,c
b,d
f,e
a,c
b,a
e,c
e,b
a,a
d,b
e,b
d,f
a,f
b,f
a,d
c,c
f,e
c,f
a,d
e,b
f,f
c,c
b,b
c,d
f,a
a,b
b,a
f,c
b,e
b,d
d,c
d,a
f,f
f,c
c,c
c,f
c,d
d,e
b,b
a,d
d,d
a,e
f,e
d,b
e,c
f,c
f,b
b,e
a,e
e,b
f,e
f,e
e,e
f,c
d,f
b,f
f,f
c,d
a,a
a,f
e,f
e,f
f,d
b,a
b,d
f,c
d,f
a,e
a,b
d,a
d,a
d,c
e,c
b,b
d,d
f,d
b,e
a,c
e,c
d,f
d,f
a,c
c,d
e,f
b,c
d,f
a,d
a,b
c,f
e,b
f,b
f,a
f,d
b,a
f,c
e,e
c,d
f,c
e,b
a,d
c,a
d,a
d,c
d,f
b,a
c,b
b,a
f,c
e,b
e,f
c,c
a,c
d,f
a,b
c,f
a,e
d,f
a,e
b,f
d,e
c,b
a,a
f,a
c,e
f,f
b,f
c,f
c,a
c,d
c,a
c,a
e,f
f,e
a,f
e,c
a,b
d,d
e,a
c,a
c,f
b,d
e,f
d,d
b,d
a,d
a,a
e,a
f,c
e,f
a,b
e,f
d,f
e,b
c,d
e,d
b,d
d,a
a,a
a,d
b,f
c,b
b,a
e,a
f,e
c,a
f,e
d,a
f,c
f,e
d,e
f,e
f,a
f,b
f,c
b,a
e,a
f,a
a,d
f,a
a,d
a,f
a,c
c,a
a,f
e,b
d,c
a,a
c,b
d,c
c,b
d,a
a,d
d,f
d,f
