var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
n,k,i,e,g,p,p,r,m,k,e,o,h,j,p,l,j,i,p,t,b,p,r,g,r,a,l,a,g,g,d,k,m,f,r,e,t,l,r,i,s,h,k,r,b,h,n,a,h,q
q,h,r,t,p,h,h,i,e,l,p,s,m,h,j,d,q,q,c,o,b,f,f,a,l,g,p,n,g,t,f,k,m,d,b,t,i,a,j,e,h,q,e,e,l,e,l,q,l,m
s,d,l,r,d,n,b,k,s,n,j,m,s,m,a,r,d,c,s,c,k,b,g,l,b,g,r,o,g,b,n,c,s,o,m,d,n,r,a,t,f,t,i,m,b,s,l,r,h,h
c,d,q,g,d,k,o,e,b,s,c,k,q,d,c,f,t,t,n,q,r,c,a,t,r,g,d,d,j,t,q,j,a,k,a,o,r,c,f,l,f,g,k,a,h,t,j,k,d,k
p,h,p,m,l,o,d,f,g,a,m,t,a,j,p,l,p,q,p,c,q,o,d,f,s,j,h,s,a,c,f,l,l,d,q,k,e,k,r,l,p,t,k,a,s,p,r,j,j,i
h,g,j,b,e,a,o,j,l,i,h,j,d,k,r,a,a,m,p,i,p,l,d,g,r,m,m,n,o,f,h,c,k,m,b,g,j,j,b,d,o,q,h,a,t,k,d,k,a,q
t,g,p,r,d,j,s,r,g,t,r,p,h,r,d,t,t,s,h,h,f,l,o,m,a,f,e,a,m,l,l,t,o,i,p,a,o,r,q,j,l,j,s,t,s,e,c,p,h,g
q,o,s,c,l,c,q,k,f,j,b,p,e,c,t,s,l,m,j,q,t,p,q,m,n,g,c,r,n,l,p,a,n,s,k,r,t,a,t,j,b,g,s,p,q,e,p,h,d,d
i,h,a,m,d,s,f,n,m,l,s,j,j,h,m,k,j,r,h,b,m,n,h,m,n,s,m,j,c,k,l,b,n,i,p,h,l,i,t,o,e,o,q,q,o,n,m,o,p,d
h,i,p,g,f,f,o,j,i,f,k,n,k,o,l,l,j,b,o,k,j,t,c,g,i,l,a,e,m,a,t,k,c,t,a,f,i,j,d,i,q,m,n,m,r,k,h,f,b,q
q,f,n,m,k,q,s,j,n,o,d,q,e,h,a,q,n,h,j,d,g,t,a,q,t,k,a,s,j,r,r,f,e,j,g,i,n,e,e,r,s,t,i,g,t,e,d,k,n,j
d,b,p,t,h,e,d,d,o,h,d,q,q,a,f,e,q,f,l,c,h,c,o,k,o,q,i,g,e,m,r,s,d,q,k,n,o,c,k,a,d,c,r,b,r,e,k,l,j,j
d,e,r,r,b,q,h,l,f,s,e,r,q,e,d,b,e,t,k,t,m,o,g,p,e,t,t,d,o,j,j,r,o,c,i,i,a,k,p,k,n,m,i,e,s,c,s,r,m,r
r,m,e,i,f,t,b,g,n,d,j,p,m,f,p,r,e,p,l,p,q,o,f,d,r,a,j,q,h,c,e,r,d,r,a,t,d,d,b,b,l,s,g,t,j,j,h,l,p,l
q,n,p,j,n,n,c,t,b,f,h,f,m,g,g,n,q,q,t,r,k,c,j,o,q,l,n,s,c,r,p,t,c,o,i,t,c,f,s,j,g,i,h,t,k,f,j,b,e,c
j,l,o,h,f,o,f,h,l,s,d,p,s,k,d,l,p,g,h,s,q,f,t,h,i,j,b,h,g,b,h,p,n,q,a,k,a,c,p,l,h,f,n,s,t,i,f,d,g,q
q,l,r,o,s,t,l,e,b,t,m,c,r,a,e,j,h,b,h,a,l,m,j,c,e,o,d,e,j,c,g,q,d,t,a,n,o,o,i,h,o,e,a,p,m,e,c,o,t,e
f,b,b,p,h,s,e,s,b,m,s,k,f,l,s,c,p,p,d,j,f,h,s,a,e,s,n,m,t,h,e,m,d,s,s,d,f,i,d,a,e,j,f,p,d,d,t,h,r,c
a,b,k,e,q,s,b,k,t,g,a,g,c,l,t,c,e,c,m,p,j,m,a,t,s,d,q,m,t,c,k,r,a,j,m,g,i,c,r,b,k,l,f,h,e,t,n,f,s,t
k,e,t,k,k,d,p,o,p,a,r,q,k,f,s,o,p,k,c,s,h,b,r,f,g,k,j,d,h,l,a,s,j,o,c,r,g,d,k,e,p,c,o,i,j,h,n,a,p,c
d,a,m,i,b,o,g,a,p,h,n,b,s,e,h,a,b,q,k,o,i,e,j,p,l,a,b,h,k,k,b,f,m,e,f,n,a,o,g,a,c,s,c,e,n,h,j,h,p,i
m,c,c,t,c,j,j,k,l,s,c,p,j,j,c,l,c,p,r,b,m,e,e,d,f,i,p,d,d,d,s,i,k,e,f,s,g,n,d,g,o,p,j,g,l,p,m,i,m,h
d,b,b,q,c,f,b,d,s,r,o,t,a,c,e,a,a,s,n,b,i,p,o,f,n,r,b,b,a,f,l,l,c,n,t,q,m,b,n,s,r,c,i,q,f,m,k,p,g,j
t,o,r,p,n,i,c,f,g,n,l,o,i,h,g,f,d,b,k,d,i,c,j,i,n,l,o,t,q,o,j,m,i,a,n,q,m,f,c,o,o,l,a,b,a,n,l,k,f,r
a,h,t,d,t,l,g,m,q,c,r,n,i,k,s,p,f,j,m,d,e,c,j,r,n,r,m,r,r,h,j,o,b,r,d,r,g,r,i,e,o,d,t,s,r,l,p,i,g,o
c,s,p,r,h,s,o,f,m,d,s,d,t,n,e,f,d,t,d,t,c,p,t,f,b,l,a,q,k,a,h,s,j,t,o,a,e,c,f,s,o,i,q,s,r,b,o,i,l,q
n,b,r,m,h,t,b,t,a,l,s,c,l,c,c,o,c,q,h,g,t,s,o,e,h,g,n,m,f,s,t,p,l,c,c,b,a,k,s,n,k,k,a,s,g,l,g,b,t,q
n,k,d,g,r,m,b,n,d,k,i,a,c,d,f,j,p,t,g,k,b,q,h,g,a,t,s,t,e,k,h,r,g,f,j,t,l,k,f,r,a,b,h,s,f,q,s,p,p,r
q,e,m,j,r,p,t,o,g,j,s,m,j,p,b,h,i,q,f,q,g,o,j,r,q,h,a,f,j,r,r,k,a,c,l,k,s,j,h,l,n,m,m,s,h,h,o,h,d,f
j,m,l,e,t,t,n,g,s,o,l,p,e,n,l,l,t,k,p,k,m,k,a,o,g,a,r,b,s,g,c,e,i,s,m,t,q,m,b,e,s,a,p,r,k,h,q,l,s,t
o,g,c,t,s,o,k,q,d,r,c,s,p,r,p,a,h,o,d,j,o,k,d,f,k,c,o,s,n,o,d,a,q,r,h,j,h,f,a,j,b,j,t,s,p,m,j,s,o,f
r,p,f,q,f,p,i,i,g,i,s,f,c,p,k,j,b,p,m,d,h,n,s,d,j,f,f,o,i,h,s,a,i,g,r,o,a,f,c,d,s,e,d,m,i,f,e,g,b,q
a,q,a,c,r,k,g,k,p,q,p,h,m,b,b,e,h,s,d,b,s,a,k,k,d,n,m,i,o,a,i,p,b,d,j,o,c,a,s,h,c,r,a,j,c,t,l,t,i,s
b,t,r,d,a,g,e,a,h,g,h,e,j,t,t,m,b,e,o,a,j,r,a,r,p,b,m,e,i,d,e,a,i,t,g,s,h,n,j,n,f,n,k,t,a,c,f,r,r,l
g,i,h,e,q,o,r,h,c,s,q,m,q,t,b,b,b,j,f,j,j,s,c,a,g,c,k,q,f,t,i,k,o,t,j,b,c,f,i,j,f,l,h,d,m,g,i,r,e,g
d,o,o,t,r,s,i,i,f,g,h,i,s,a,c,t,a,e,f,b,b,e,n,j,p,a,j,o,g,a,q,j,d,p,e,n,h,i,a,q,o,s,r,s,g,a,j,k,s,o
l,f,m,i,f,r,q,s,r,c,j,r,n,r,t,h,a,a,b,q,l,h,n,f,d,r,o,q,k,l,d,g,d,a,d,j,h,g,n,f,a,d,p,b,a,p,g,t,r,t
n,m,j,i,i,l,g,j,p,m,t,f,c,r,t,n,f,p,g,h,p,e,g,d,h,c,s,o,a,r,c,s,t,i,a,g,k,f,o,k,b,h,s,g,j,n,c,o,t,a
h,r,o,j,g,k,f,e,j,t,p,f,j,d,a,f,l,i,h,m,o,f,t,k,b,t,a,q,g,c,i,g,k,m,n,q,b,h,e,c,c,o,d,f,a,b,o,l,f,s
c,q,r,q,f,m,c,m,o,l,h,j,q,f,b,c,r,b,d,n,t,i,j,f,i,t,j,h,h,j,k,g,d,b,i,q,a,i,l,t,i,s,j,o,d,k,b,o,c,k
n,i,t,o,m,q,d,n,p,l,a,o,k,d,r,k,r,a,n,c,d,n,r,l,p,a,t,c,n,q,m,e,n,c,e,q,d,p,h,k,c,k,e,p,d,e,l,m,d,j
e,e,i,h,b,l,d,r,s,s,e,e,s,n,r,s,h,o,h,i,f,m,p,s,b,e,g,c,m,l,c,t,i,a,c,n,l,m,h,t,m,f,i,l,r,q,b,i,c,t
g,f,i,a,f,d,q,q,h,s,b,a,e,t,i,f,j,i,b,n,n,e,i,b,d,q,j,i,r,o,l,k,j,l,a,b,c,m,t,d,e,c,h,k,b,p,n,c,k,g
n,f,o,n,c,m,n,e,i,s,b,n,q,i,h,o,g,r,c,c,r,p,c,q,l,l,n,f,e,r,n,l,h,e,o,b,g,k,q,t,k,o,j,g,k,d,n,c,j,q
d,a,p,l,j,f,j,o,i,s,h,n,l,r,a,f,q,m,p,g,m,t,d,a,n,t,m,f,n,i,s,a,s,m,m,r,c,n,t,d,m,m,e,p,d,r,m,a,n,t
b,h,r,p,m,m,r,i,g,j,f,l,i,e,m,t,i,r,g,d,a,h,h,a,l,m,i,q,g,e,q,a,e,k,f,q,k,e,k,m,s,d,c,m,c,e,d,e,n,t
t,e,l,s,k,t,c,k,o,g,b,f,j,s,f,g,e,n,l,s,j,p,r,g,g,s,t,f,l,i,q,f,c,q,h,m,m,q,q,d,c,r,d,j,l,d,r,c,n,f
n,r,f,s,m,o,k,t,t,h,o,o,r,a,k,m,k,h,a,m,s,d,m,i,a,a,r,o,g,f,f,h,n,h,d,r,e,p,j,n,g,h,g,i,d,t,d,a,b,o
b,d,e,l,g,b,d,s,c,a,a,d,q,f,g,l,b,f,h,i,b,o,j,r,k,t,c,f,a,k,i,a,h,q,h,c,h,m,k,t,d,p,t,g,c,o,o,j,o,t
c,n,b,i,l,b,q,l,j,i,s,i,l,g,r,i,s,t,e,r,a,n,g,r,b,s,g,p,s,f,p,b,h,l,i,f,c,c,g,p,o,q,p,p,e,t,r,p,h,k
c,e,o,n,p,b,c,t,a,t,g,k,n,n,d,r,h,q,j,m,d,l,s,e,o,i,n,r,e,i,r,m,p,f,p,d,k,p,c,t,j,d,s,s,s,m,i,s,b,j
j,c,g,l,q,l,s,k,o,c,a,h,n,m,m,d,s,j,a,l,h,a,n,m,l,e,d,c,c,d,i,p,l,q,a,m,p,m,k,b,j,r,s,d,n,a,e,k,o,s
g,e,q,o,b,l,l,c,q,a,d,i,k,g,a,m,r,f,s,i,p,g,s,n,i,t,p,r,b,b,r,d,r,l,a,m,n,d,j,m,a,c,l,g,h,t,h,d,h,p
b,q,m,r,p,j,t,h,p,i,d,q,m,s,d,a,j,o,k,j,b,m,d,p,r,t,r,g,j,l,o,g,a,i,n,s,d,l,l,q,o,g,f,n,m,j,b,k,p,f
p,q,c,f,i,s,f,l,h,b,l,t,o,c,g,l,t,k,o,e,c,g,c,m,l,h,s,p,n,o,q,h,q,c,s,g,i,d,g,k,j,a,r,r,r,c,h,n,j,j
j,n,n,i,e,k,s,f,r,r,j,p,f,r,b,k,r,p,t,k,r,e,q,m,j,g,l,l,f,f,l,d,d,r,n,e,o,r,g,c,h,s,t,h,d,n,q,d,t,s
c,g,o,t,e,e,j,p,q,i,d,a,m,d,j,q,a,e,d,o,t,r,h,a,k,g,n,g,r,m,r,l,e,s,s,f,c,q,h,g,n,o,t,a,p,k,j,c,p,c
k,p,d,a,q,c,p,j,m,q,c,g,d,t,h,q,m,r,q,k,t,j,l,s,h,e,a,t,o,b,o,t,m,m,f,q,m,c,p,g,d,o,s,k,c,o,p,c,h,r
q,n,t,b,h,r,l,l,e,p,f,c,h,f,n,m,r,s,k,a,j,e,g,o,d,t,r,l,m,r,r,j,t,c,d,m,q,f,k,a,h,i,c,j,s,j,m,j,a,e
r,b,j,p,m,f,r,j,s,m,d,h,h,e,l,n,q,q,r,b,h,g,n,c,m,a,f,g,f,o,h,o,p,e,h,c,t,p,p,j,q,t,s,d,h,l,k,j,k,i
m,s,t,i,t,j,h,f,k,o,o,a,c,b,j,i,i,q,m,g,f,t,h,r,c,j,d,m,c,n,d,s,p,c,j,l,c,a,e,s,g,g,s,e,m,f,f,e,d,d
c,b,n,o,f,g,l,d,o,e,r,l,k,c,s,l,g,l,s,s,d,t,e,m,i,g,p,p,c,b,n,j,k,s,o,e,m,m,j,q,l,a,o,j,f,l,l,k,e,l
p,o,i,n,k,g,g,g,e,b,g,b,g,l,e,d,r,e,j,e,n,b,k,b,e,e,k,i,d,d,m,q,d,i,c,m,r,m,i,q,o,k,a,j,p,h,h,m,i,c
r,g,j,q,p,q,g,r,r,d,d,j,s,h,h,j,q,f,b,f,n,g,o,j,s,d,q,i,s,h,j,f,p,n,e,l,k,t,q,s,g,p,b,q,h,m,i,f,t,j
r,r,n,q,i,l,m,e,q,f,d,d,m,r,j,q,l,k,l,b,t,l,o,r,j,e,d,r,e,o,i,q,n,g,p,f,g,e,q,k,n,q,h,b,m,i,n,g,n,e
m,h,m,s,c,q,r,a,k,c,q,c,p,p,d,k,f,j,g,h,m,f,t,f,j,k,k,f,m,k,l,i,s,r,f,j,m,i,h,o,o,k,m,o,d,o,a,i,f,o
j,q,p,q,r,b,f,o,f,r,n,h,o,i,l,i,b,n,f,c,n,b,n,l,m,p,f,n,t,m,r,e,k,i,c,s,i,d,d,h,p,n,j,l,p,l,s,o,h,b
k,b,s,i,j,p,h,f,n,s,g,j,d,s,k,o,o,m,g,i,p,l,p,o,e,g,e,c,f,a,c,r,s,p,s,h,r,l,r,i,m,m,j,l,c,l,d,g,l,e
s,e,l,b,k,h,t,g,i,j,g,i,a,e,p,f,k,e,r,h,n,q,o,h,b,k,q,o,t,t,l,i,b,n,n,l,d,o,h,m,q,j,s,c,i,d,d,n,h,b
d,r,o,i,p,d,t,h,c,r,n,j,s,b,t,o,n,p,p,t,s,b,c,l,m,l,s,n,p,b,p,h,a,b,d,b,k,f,s,k,g,i,o,f,k,l,t,c,b,q
f,r,h,l,b,e,i,f,k,j,p,r,i,p,e,i,p,d,o,j,k,p,s,b,m,c,n,k,i,o,q,m,e,a,p,e,i,c,t,m,p,i,l,r,c,i,n,t,s,d
l,f,f,c,f,b,f,b,g,b,r,n,t,i,b,s,f,b,m,n,i,e,m,o,m,c,t,t,k,o,e,b,i,t,p,r,g,l,d,a,e,k,c,s,n,g,g,d,d,s
d,e,c,j,f,o,q,e,h,r,h,r,o,s,d,l,b,t,p,a,r,e,k,c,n,s,o,l,r,c,q,p,r,l,i,t,j,q,f,l,j,r,k,q,m,r,m,o,e,i
t,p,b,k,a,i,k,b,l,a,l,a,g,k,q,o,s,b,f,l,d,r,o,l,s,r,q,e,n,h,m,b,q,t,c,q,l,i,f,c,s,o,t,m,o,k,j,e,k,j
e,m,t,c,d,f,a,g,k,q,n,a,s,p,t,l,c,e,h,o,m,g,f,a,o,t,a,o,k,i,k,t,i,r,s,d,h,n,s,p,l,c,b,t,r,m,l,m,b,h
a,s,f,b,m,l,j,n,g,b,c,a,k,a,e,p,f,d,f,p,t,i,i,k,c,j,k,t,d,o,l,n,b,o,c,h,i,l,f,d,r,r,m,n,r,h,r,d,f,l
f,a,h,l,d,a,h,t,i,l,l,q,m,a,a,i,d,l,o,a,n,m,r,f,h,r,c,n,a,a,i,m,a,t,r,o,b,s,t,t,p,t,e,h,n,m,r,b,r,d
l,b,s,t,r,l,l,a,t,l,r,k,d,g,i,j,a,l,l,r,s,t,r,g,i,c,s,c,c,p,k,f,g,c,o,d,j,c,i,q,m,a,j,e,i,c,r,k,p,r
g,m,r,t,i,o,s,k,r,n,q,o,j,h,k,n,d,g,s,t,r,l,h,j,q,i,d,c,l,t,l,i,c,q,k,e,r,j,h,e,d,m,g,o,b,a,i,a,t,i
e,e,h,t,t,m,i,b,s,e,s,o,b,s,r,e,f,q,f,d,a,b,l,m,p,l,n,p,o,h,s,n,t,l,j,s,m,k,l,p,d,p,m,c,g,l,g,p,m,q
b,t,b,d,p,n,r,c,k,r,s,k,f,p,g,p,e,c,l,m,q,c,s,p,d,d,g,h,d,g,n,n,l,p,t,h,c,j,m,q,m,h,m,s,a,q,f,j,h,b
k,i,m,t,s,c,m,k,i,t,s,e,k,o,e,s,h,l,o,e,g,a,i,h,l,s,k,k,c,l,j,b,i,d,h,m,b,s,i,a,m,e,n,c,j,t,l,h,i,h
d,i,b,m,i,l,t,k,m,j,o,h,g,h,o,p,a,q,i,q,b,g,g,m,d,g,o,g,t,m,p,e,m,f,e,o,h,e,m,o,d,h,d,f,a,r,h,t,a,f
i,f,g,o,s,n,i,p,q,i,m,b,f,b,a,f,g,d,a,r,q,p,m,k,e,t,b,t,h,l,h,g,s,m,a,e,i,a,s,s,f,j,a,e,a,q,k,b,j,c
i,m,e,i,i,l,l,n,q,b,h,s,j,f,a,f,n,t,l,h,f,q,l,k,m,e,a,o,q,r,e,e,n,a,t,e,a,p,s,d,c,f,d,h,d,d,g,o,r,q
m,e,e,m,o,m,g,p,c,r,o,m,h,o,s,l,a,k,o,e,n,e,s,m,k,t,p,b,h,h,t,a,d,r,b,s,l,q,f,e,g,d,c,i,g,m,g,q,b,e
b,h,h,n,i,o,a,g,a,o,c,s,q,f,e,s,g,b,i,h,h,q,a,j,q,c,l,g,p,j,m,k,d,h,e,n,t,r,h,g,m,h,q,d,r,k,n,m,d,a
i,i,g,c,m,e,i,q,h,e,r,h,g,a,e,j,l,i,n,t,o,m,d,l,t,q,k,r,n,n,r,g,m,c,s,r,l,r,t,j,g,c,i,c,i,b,s,m,b,t
b,g,d,s,a,d,d,b,q,d,s,q,o,t,r,k,d,i,g,b,j,j,a,c,t,q,p,k,i,b,l,g,b,p,i,g,s,f,j,j,k,l,e,g,e,r,g,b,i,c
s,l,s,t,j,t,i,r,d,r,e,o,p,h,b,t,g,n,q,n,h,k,i,n,c,m,b,q,t,o,n,j,d,i,q,i,r,e,o,h,d,q,g,o,q,s,c,k,g,o
b,f,n,b,d,c,q,q,l,a,c,h,b,i,c,j,d,c,g,i,s,t,b,e,b,r,c,m,t,s,t,l,i,g,k,i,i,t,l,c,n,i,q,k,g,j,b,n,i,d
p,m,h,t,e,l,o,g,h,p,t,r,j,t,b,f,i,r,m,q,o,f,k,p,e,k,a,m,l,o,q,o,j,n,c,n,h,m,d,k,s,d,n,o,g,f,b,l,b,g
r,h,b,p,c,t,c,b,g,g,k,t,o,o,t,a,r,m,i,t,j,q,n,k,i,j,o,q,n,r,m,b,k,t,n,o,s,l,o,h,p,e,p,t,o,t,d,k,j,h
d,o,o,q,o,n,s,m,i,g,i,t,l,l,g,p,m,g,l,j,d,c,o,q,f,m,a,f,l,e,p,g,q,k,q,c,r,p,e,d,k,b,a,d,k,n,g,l,a,s
g,f,a,t,f,r,c,f,m,c,t,f,q,l,a,a,e,p,a,i,i,j,a,f,t,a,m,r,s,j,l,j,a,r,e,b,n,b,o,n,r,s,f,t,n,m,t,t,o,s
o,g,b,e,t,l,a,o,e,g,g,s,n,q,f,n,d,r,g,r,l,t,k,f,l,a,e,j,r,j,n,c,o,n,g,d,k,a,t,b,t,q,f,d,e,t,g,p,d,g
j,q,d,k,n,l,h,h,b,o,n,p,l,f,s,q,a,r,o,h,o,s,q,h,t,j,q,g,k,t,m,k,i,e,t,i,l,r,j,a,f,j,j,c,n,s,f,f,a,a
q,r,g,e,p,j,r,j,c,s,n,h,m,q,t,a,q,r,f,d,g,c,r,a,q,i,h,o,p,e,o,l,s,r,s,s,p,d,j,d,r,m,q,c,t,n,e,n,h,i
q,k,c,g,r,k,p,d,l,f,s,g,c,i,i,s,j,k,l,m,d,l,j,s,p,d,j,p,m,g,c,j,s,n,g,n,g,q,b,p,q,c,d,n,a,e,l,a,h,n
e,b,c,p,d,t,f,p,e,a,g,e,s,e,k,n,q,d,t,j,f,f,c,q,b,n,e,a,d,g,t,p,a,n,a,n,o,r,r,d,i,t,f,d,n,h,o,q,f,k
h,q,i,a,f,q,k,b,i,g,i,h,i,s,m,p,a,o,k,r,d,t,n,c,j,m,g,c,n,e,i,g,a,n,a,e,c,p,m,r,n,n,q,c,i,d,j,b,p,r
h,p,e,a,t,f,g,q,m,k,g,j,h,p,c,i,q,a,m,o,c,k,j,k,f,f,l,i,g,s,t,n,i,n,h,b,i,q,f,i,j,e,e,g,e,b,k,r,h,f
i,f,q,a,b,l,e,q,a,b,r,p,h,a,f,b,d,i,s,r,l,q,q,a,o,r,i,h,i,g,b,f,l,h,k,d,o,s,e,o,p,t,b,e,a,i,r,l,n,f
o,e,h,s,l,g,r,n,f,q,d,f,r,k,n,i,a,o,b,r,g,e,j,t,n,d,t,o,f,j,t,f,p,r,d,p,e,i,f,l,f,n,b,r,c,l,o,b,g,a
e,i,s,f,e,i,n,l,i,e,o,o,k,a,j,i,p,j,f,h,b,m,m,d,n,k,r,j,j,l,f,e,r,i,m,i,g,e,k,s,d,a,a,k,j,t,c,c,c,a
l,n,a,i,i,s,p,o,j,o,o,t,b,o,l,k,o,q,p,j,l,s,b,o,t,n,k,f,k,t,b,j,r,t,c,r,h,q,e,s,q,j,j,g,l,o,l,t,h,h
t,e,q,a,s,p,j,q,o,s,e,q,b,a,h,j,b,f,d,r,b,l,r,s,f,n,s,l,r,i,n,q,i,o,q,j,l,q,f,n,s,o,c,t,c,k,p,b,d,m
h,o,h,b,d,n,m,p,b,b,k,c,h,r,t,k,h,k,n,k,k,j,n,b,l,b,k,h,p,p,m,e,l,i,i,j,c,s,e,k,m,l,q,t,i,f,o,c,e,a
j,r,s,g,m,n,q,e,h,d,g,m,e,o,e,c,d,j,i,d,c,g,s,f,k,o,q,f,g,i,r,q,e,k,e,f,i,h,b,l,n,l,l,a,q,h,o,l,b,p
m,b,r,p,i,q,k,h,c,g,t,f,j,c,o,q,b,j,b,e,j,d,t,j,p,g,h,q,h,i,k,i,d,g,s,b,c,b,i,c,e,s,a,m,h,l,q,s,l,f
c,i,e,p,f,e,e,j,g,j,l,h,s,p,s,g,e,f,q,m,f,o,e,l,h,q,c,g,h,t,o,s,f,m,k,f,n,a,a,o,m,k,t,r,k,s,g,l,g,r
e,p,o,t,m,n,t,q,b,d,q,i,h,c,e,n,k,l,e,k,r,j,t,h,m,t,e,c,k,e,q,a,k,h,a,s,d,t,s,c,s,b,h,s,s,k,f,b,j,d
b,g,f,o,t,i,d,k,q,l,s,e,s,i,e,t,d,e,j,a,r,m,a,i,t,k,d,e,c,t,s,i,n,k,g,b,k,r,f,i,o,o,g,h,b,o,p,n,e,e
p,p,b,e,t,j,n,o,n,h,o,m,t,f,s,o,t,k,n,h,j,a,e,q,t,k,f,p,e,i,i,i,q,g,t,s,m,g,o,j,h,p,m,i,a,i,n,a,n,j
c,p,q,j,h,c,t,q,h,l,q,m,s,h,r,o,n,l,d,s,k,p,f,f,j,e,i,e,k,a,l,s,a,d,s,o,j,e,d,a,k,a,d,h,j,l,a,l,b,r
k,r,h,k,o,h,e,t,e,l,r,o,r,m,k,e,k,s,j,h,t,b,h,t,p,l,p,e,m,o,r,h,h,o,e,d,e,l,j,a,s,l,f,l,m,t,f,a,t,a
h,e,g,i,n,p,s,p,d,f,a,p,f,j,a,f,i,m,r,m,f,s,l,r,g,t,b,j,p,k,g,a,f,s,t,m,j,d,i,r,f,d,e,s,n,e,p,q,h,e
o,i,c,l,r,i,k,k,a,d,f,o,g,j,n,h,m,i,c,d,k,e,r,q,h,a,h,a,k,f,q,s,d,o,m,k,b,d,g,a,r,q,r,f,r,q,c,r,h,f
t,d,k,i,c,m,b,e,d,d,r,e,i,g,o,d,r,n,d,g,e,j,f,i,o,o,s,t,q,l,f,d,l,l,k,d,m,o,i,p,q,g,b,n,k,q,h,k,f,s
b,a,r,p,b,m,d,r,b,a,q,j,m,p,d,m,i,a,a,d,a,o,n,p,a,k,q,a,o,l,d,k,l,h,f,p,m,g,g,r,a,e,h,o,n,t,s,l,n,b
e,h,q,d,t,o,o,m,n,k,f,m,h,n,p,d,s,l,k,o,f,k,o,t,a,g,r,j,h,a,t,f,h,l,b,m,p,p,h,q,g,d,d,b,b,h,g,j,h,t
n,j,h,l,l,k,n,s,p,p,e,o,c,b,d,n,o,h,a,s,l,i,i,g,j,o,h,a,d,j,e,a,b,f,a,q,b,b,o,d,c,k,k,b,a,f,j,r,f,d
h,t,q,m,e,h,r,f,j,g,h,e,o,t,o,g,t,k,t,l,o,i,a,d,k,s,s,m,b,p,b,o,b,i,k,n,g,s,j,g,i,s,j,m,j,d,p,h,m,r
p,p,b,d,i,b,g,g,l,l,d,h,k,o,e,n,o,s,d,k,i,l,n,r,c,t,r,s,t,d,b,d,a,k,d,n,d,i,h,k,g,n,q,k,b,q,e,o,l,m
n,d,b,c,k,c,j,j,j,d,h,j,a,t,t,q,n,p,m,p,p,i,t,q,e,l,a,n,s,m,a,p,d,c,j,q,g,i,n,t,a,t,g,n,l,k,m,n,e,h
g,r,f,r,p,l,a,p,n,m,g,e,o,h,e,j,p,a,g,j,g,t,s,m,m,n,n,m,a,k,f,c,j,n,m,q,g,l,d,m,h,o,o,f,c,m,q,c,g,q
