var_1,var_2,var_3,var_4,var_5
e,b,e,a,c
a,b,d,e,e
f,e,c,b,b
b,a,a,f,a
d,d,d,b,b
a,d,e,b,c
b,d,a,b,b
f,b,a,a,e
b,b,e,c,e
e,e,e,d,e
e,d,c,d,a
c,c,d,b,c
e,e,d,c,c
c,b,e,a,b
a,f,e,f,a
e,e,b,a,c
a,d,d,d,e
a,f,e,b,d
b,b,d,b,d
d,f,b,f,f
e,b,d,c,b
c,e,d,c,c
c,d,d,b,b
a,d,c,e,a
f,e,b,a,e
f,e,d,e,c
f,c,d,c,f
a,c,a,e,b
d,c,c,f,f
f,d,d,e,d
c,a,e,f,c
b,b,f,d,c
c,c,e,b,d
d,e,c,f,c
d,f,d,d,b
e,f,b,e,a
b,d,f,d,e
e,b,d,b,d
b,f,f,a,a
a,d,f,d,f
b,b,b,f,f
d,c,e,d,b
e,c,f,b,e
a,a,c,b,f
c,a,e,b,e
a,c,d,b,c
f,e,f,f,b
b,e,d,b,f
f,f,f,d,c
d,e,c,e,a
a,a,a,c,f
c,a,c,b,c
a,f,d,c,d
a,d,b,a,b
c,e,e,e,e
c,b,f,a,e
a,a,e,d,b
e,a,e,d,e
d,f,b,d,a
a,a,d,e,e
d,c,e,e,a
a,a,a,b,e
a,f,c,a,d
c,f,f,f,f
a,d,c,c,d
e,a,e,d,f
f,f,f,a,d
d,f,f,b,f
d,e,c,e,d
f,b,a,b,d
f,b,d,e,d
c,c,b,e,a
b,b,e,c,f
f,b,d,b,b
c,f,c,c,a
b,c,d,b,c
a,f,a,d,b
b,d,b,f,b
a,e,e,e,a
f,d,c,c,c
a,b,d,e,d
c,f,c,d,e
c,a,a,d,e
d,f,b,c,f
f,a,e,a,f
f,c,a,a,b
e,b,a,c,b
d,c,e,f,d
f,a,b,e,d
d,e,d,c,e
e,f,d,b,e
a,e,a,e,e
a,b,d,f,c
b,c,b,e,e
f,a,f,b,a
d,b,e,d,f
d,c,d,d,c
c,c,a,d,a
f,a,e,f,b
d,c,f,d,e
f,c,f,b,a
f,e,f,c,a
b,a,b,a,a
f,b,e,d,c
c,a,f,c,a
d,e,d,f,c
c,c,b,c,e
e,d,b,b,e
e,e,c,a,f
d,b,a,f,b
c,d,d,c,e
a,a,d,a,c
b,a,c,a,a
e,c,c,c,a
d,b,c,f,b
c,b,a,d,c
b,f,a,f,c
a,f,a,a,c
e,e,a,c,a
f,e,e,f,a
c,d,c,c,b
d,e,f,d,e
f,b,e,a,c
f,b,d,b,f
e,c,f,d,d
e,c,d,b,b
a,f,b,b,c
b,b,e,f,b
c,e,c,d,d
f,a,a,a,e
b,b,e,b,e
d,a,d,f,a
a,c,a,f,d
a,b,b,d,e
b,d,b,a,e
b,f,f,e,c
f,f,b,d,e
a,f,c,c,b
f,a,c,d,f
a,b,c,a,c
e,c,b,a,e
b,d,e,b,d
d,d,c,f,f
e,a,b,c,f
c,e,c,a,b
a,a,f,b,d
d,f,d,c,f
f,e,a,e,f
e,f,c,b,c
c,a,f,f,f
d,c,a,c,e
e,c,d,b,a
d,e,a,d,f
f,f,f,a,f
a,f,d,b,f
f,f,f,e,a
f,c,b,a,c
b,d,c,a,b
b,d,f,f,a
e,d,b,f,f
b,a,c,c,d
f,e,a,b,d
c,b,e,f,f
d,c,f,a,e
c,d,f,a,a
