var_1,var_2,var_3,var_4,var_5,var_6
d,e,c,e,a,d
a,b,e,e,e,d
d,e,f,a,f,b
b,f,c,c,a,c
b,d,e,b,a,a
a,a,d,a,e,f
b,c,e,d,c,e
b,b,f,f,f,f
f,d,f,c,b,d
e,c,b,e,b,f
c,d,a,c,b,a
d,b,d,a,c,c
c,a,e,d,b,a
f,b,d,f,a,e
a,e,e,b,d,e
a,d,f,d,f,f
d,e,e,f,e,a
c,a,d,a,d,b
b,b,e,a,b,c
b,b,d,a,e,b
e,b,f,d,e,b
a,c,a,d,a,d
a,d,f,d,d,e
d,a,f,b,d,d
b,e,f,e,c,a
e,c,e,b,e,b
d,f,a,c,e,b
b,d,d,c,e,e
f,c,d,e,a,e
f,e,c,a,b,f
d,e,a,d,e,a
e,b,d,e,c,b
a,d,d,c,a,b
e,c,e,d,a,a
b,f,b,e,e,a
c,b,b,e,d,e
e,d,f,a,d,d
b,f,b,a,f,f
b,c,b,b,b,a
f,a,e,a,d,d
b,b,e,a,c,c
f,c,f,b,d,d
a,d,d,e,e,d
e,b,b,a,b,b
d,b,d,d,f,b
e,e,b,d,b,b
d,d,d,a,e,c
c,a,e,f,a,e
d,c,d,a,d,e
e,f,f,d,e,b
b,e,b,d,c,b
d,a,f,d,c,a
b,c,e,e,d,c
b,e,b,f,c,b
d,e,c,f,e,c
b,a,d,f,f,a
f,f,c,c,d,c
d,d,f,c,d,f
c,c,c,d,e,d
e,d,c,e,f,f
a,d,a,f,a,f
d,e,c,f,f,c
f,b,e,d,f,a
e,e,c,b,c,f
e,d,b,a,b,e
e,b,e,e,f,e
b,f,d,e,a,b
b,b,b,a,a,d
e,f,a,a,d,e
a,b,f,f,d,d
c,e,c,b,d,f
b,e,a,c,d,e
a,a,d,f,a,c
b,f,b,b,b,a
d,e,a,c,c,a
d,e,c,f,e,f
b,b,a,c,e,d
f,f,f,b,c,d
a,a,a,a,c,b
a,f,d,e,c,e
e,d,d,f,b,f
a,f,d,d,a,b
d,e,f,b,a,a
a,a,b,d,d,d
c,a,a,d,e,b
b,e,d,c,f,e
f,a,d,b,d,d
a,b,e,d,a,b
e,f,f,d,e,c
f,b,e,d,e,a
f,f,e,e,c,f
f,e,e,d,b,d
d,a,a,e,d,b
e,a,b,c,d,c
c,f,e,d,e,c
c,d,b,d,d,f
b,d,d,a,a,c
f,d,d,b,a,e
e,a,c,c,c,a
a,c,d,d,d,f
d,c,a,c,f,b
f,a,c,e,c,a
b,d,e,b,d,a
f,b,e,a,f,b
c,c,a,b,a,e
c,a,e,f,d,a
e,f,e,f,d,d
c,a,f,b,a,a
c,e,d,e,e,d
e,a,d,f,a,b
d,e,b,a,e,c
a,b,b,f,e,c
d,a,d,f,a,c
a,d,b,d,c,a
d,d,a,b,c,f
e,b,c,c,d,e
d,f,d,a,b,f
d,b,d,a,c,e
b,f,c,e,a,b
b,b,a,f,e,f
d,a,f,e,b,e
e,e,f,b,d,c
d,b,b,b,f,f
e,e,d,a,f,e
b,f,a,a,f,e
b,d,b,d,e,f
f,c,c,b,d,d
e,c,a,c,d,b
d,f,c,a,d,a
b,f,f,d,c,c
b,c,c,b,d,f
b,b,f,f,d,c
d,e,b,a,f,d
f,a,c,a,c,c
d,a,c,f,c,a
b,b,e,e,f,c
e,a,e,d,e,d
a,b,e,c,c,e
c,c,e,d,b,c
b,b,d,b,b,e
b,f,f,a,c,e
c,b,b,b,c,a
a,b,f,a,e,d
f,f,a,b,e,c
c,c,e,b,c,d
d,b,b,b,a,e
c,e,c,e,c,e
c,f,e,d,a,b
d,e,d,c,e,b
d,d,d,e,e,e
a,d,a,e,e,d
e,d,e,b,c,b
f,a,b,e,b,a
a,d,f,b,e,e
e,c,f,b,a,f
d,f,d,d,a,f
d,c,c,b,f,d
a,b,e,e,e,a
c,e,a,d,a,f
c,b,f,f,d,a
f,b,c,e,f,b
a,c,e,f,b,e
d,c,e,c,e,d
d,b,f,a,d,f
b,c,e,c,f,c
b,f,b,c,e,e
b,d,f,a,a,c
a,c,b,b,c,e
b,b,b,d,a,d
a,b,c,d,d,b
f,e,b,c,d,c
c,e,a,e,c,c
b,f,d,e,e,f
c,c,b,e,b,a
f,d,f,b,b,a
f,b,b,a,b,a
f,b,b,f,c,b
c,e,e,f,a,a
e,e,b,f,e,d
e,d,f,e,c,a
d,a,f,b,d,d
d,a,f,a,b,c
b,b,f,b,d,c
b,f,c,c,c,b
d,f,c,f,b,a
a,c,f,d,a,d
b,d,f,a,b,f
a,a,c,b,e,d
d,d,d,e,c,a
f,c,e,a,d,b
a,d,f,a,e,a
d,f,e,b,f,b
d,e,c,d,e,a
e,e,b,d,e,b
c,c,a,a,f,b
e,a,e,e,a,c
d,d,d,a,c,e
a,a,f,d,b,b
a,e,b,e,e,b
b,a,b,c,f,c
e,e,f,d,e,e
d,a,b,d,b,f
b,e,a,d,b,c
c,b,d,b,b,f
c,b,d,c,e,a
f,d,d,f,d,c
c,a,e,c,b,e
e,e,a,c,c,b
c,e,b,d,e,e
d,f,d,c,b,c
f,d,d,b,a,f
a,f,a,a,c,f
f,b,e,d,b,f
c,d,d,b,b,d
e,c,b,d,d,d
b,f,d,c,b,a
f,b,f,a,e,a
c,d,e,c,d,c
e,d,e,a,a,f
a,d,d,b,a,e
e,d,d,c,c,c
c,a,d,d,d,f
c,a,e,e,e,a
d,b,a,e,f,c
d,a,b,b,e,a
e,e,b,b,c,d
c,c,f,c,b,f
d,e,c,b,c,a
a,c,a,a,c,a
f,a,b,f,a,d
b,b,e,e,b,d
a,e,c,a,b,a
e,f,e,a,e,b
f,a,c,c,b,c
b,f,b,f,e,c
e,d,c,f,e,f
f,b,b,e,e,e
c,f,f,f,f,b
b,d,f,c,b,c
f,d,f,a,e,f
e,f,f,e,c,e
d,a,c,d,f,e
c,a,e,a,d,c
b,e,d,b,c,e
c,a,f,e,b,b
f,c,d,f,c,e
f,b,a,e,a,a
e,e,b,e,f,d
f,b,a,e,b,b
a,d,f,f,a,a
c,c,c,a,a,f
a,c,d,f,b,b
a,b,f,d,f,b
e,d,e,d,e,c
a,e,f,e,a,c
f,f,a,c,c,b
a,b,e,d,b,b
c,f,f,f,b,f
a,f,f,e,d,d
c,c,f,c,b,a
a,e,e,a,b,c
a,b,c,c,a,d
b,b,d,e,c,e
e,d,e,b,d,a
b,b,e,c,d,e
f,a,f,e,f,e
e,d,f,f,a,b
c,b,c,a,a,d
c,a,c,c,f,a
a,d,b,c,e,b
d,a,f,f,f,b
a,f,a,a,f,c
d,b,f,b,f,c
a,d,a,a,a,c
b,f,f,d,d,f
b,e,b,f,e,d
a,b,b,d,a,f
a,c,d,c,d,d
e,e,b,f,f,c
c,e,b,f,c,b
e,b,a,a,d,d
d,b,a,d,c,a
b,c,f,a,d,b
c,d,a,b,a,e
b,c,a,e,b,c
c,a,d,f,a,d
a,e,f,c,c,b
f,e,b,d,c,d
f,e,f,d,d,f
d,e,d,f,c,b
e,c,a,e,d,d
f,d,c,e,b,f
d,b,c,f,d,b
f,b,b,c,b,e
e,e,a,a,c,c
a,c,f,e,c,e
f,e,c,c,a,e
d,e,c,b,f,c
f,f,c,f,a,b
a,f,e,f,b,c
e,a,c,f,b,e
d,a,d,e,e,c
b,a,a,f,b,b
e,d,c,e,f,f
c,e,d,b,e,e
b,c,e,e,a,c
c,a,d,f,f,a
c,c,c,d,f,f
b,a,a,c,f,e
d,c,a,a,d,d
b,f,f,d,e,f
d,f,a,e,a,a
c,f,c,d,f,a
d,f,d,d,e,a
e,a,b,d,c,e
d,a,c,e,c,a
d,d,e,a,f,b
f,f,a,b,d,c
f,c,c,e,f,a
f,a,c,a,c,f
b,e,a,a,d,c
a,b,a,a,b,a
a,f,e,c,a,b
b,c,d,e,a,b
f,b,d,e,b,a
e,c,e,d,d,a
f,f,c,b,e,f
f,f,e,a,e,f
c,c,a,c,a,c
a,a,d,e,c,c
f,c,c,e,a,b
