var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50
e,c,s,A,t,p,b,u,t,m,g,u,u,n,y,r,e,h,j,w,d,d,r,v,B,u,B,g,C,l,j,e,q,t,p,D,i,j,b,y,e,h,i,r,j,p,j,w,a,l
D,t,C,k,B,f,m,b,g,r,B,d,f,a,v,A,C,q,i,b,B,z,r,e,c,p,v,m,t,C,g,j,s,z,v,m,y,C,s,l,c,f,z,A,s,u,y,D,m,a
u,q,a,s,B,s,a,f,B,b,u,k,a,p,n,s,m,u,b,x,y,l,e,q,f,h,z,v,m,u,u,p,t,h,B,s,e,A,u,B,l,D,r,k,k,m,v,q,v,q
n,z,d,b,n,c,t,r,r,q,B,y,x,D,x,x,x,a,q,l,C,v,f,l,r,p,i,a,q,v,p,o,m,t,C,o,e,d,y,l,d,p,k,D,z,s,n,d,a,i
z,t,n,e,f,b,j,x,C,C,D,j,A,s,x,n,B,q,u,l,y,p,b,o,b,o,e,q,d,g,p,n,m,j,j,u,h,B,k,o,B,m,j,c,A,o,d,d,o,g
g,t,B,t,z,c,h,j,e,s,f,u,a,e,d,g,b,B,x,s,z,l,t,j,c,A,A,m,D,i,p,y,n,o,p,q,B,s,t,x,h,h,C,C,q,f,z,y,w,h
z,z,m,v,d,m,y,b,y,x,s,D,t,x,m,B,j,D,y,w,f,b,x,o,e,m,h,u,e,d,C,a,d,x,j,t,p,o,z,p,s,j,b,f,p,b,f,C,e,r
k,m,l,e,y,c,w,D,C,t,u,D,A,C,i,h,n,u,s,g,A,y,s,g,s,j,h,g,y,d,f,z,b,p,v,o,q,d,t,w,a,n,n,B,o,B,b,g,l,d
w,c,u,n,p,n,q,l,y,b,g,f,m,b,A,r,q,v,C,l,b,k,p,w,i,c,k,A,q,x,B,i,s,r,A,a,v,u,u,n,q,g,d,A,u,m,d,B,c,p
d,w,A,z,D,o,z,u,b,z,o,g,v,o,A,n,q,j,C,o,g,x,z,h,d,v,n,l,v,A,l,k,x,t,j,A,j,s,c,y,p,n,w,n,t,r,k,w,j,m
D,j,x,A,t,p,a,t,e,d,a,l,i,r,h,o,c,c,d,t,c,j,o,s,b,q,D,q,q,a,l,B,h,t,e,x,f,z,u,p,k,B,v,t,r,z,q,D,i,f
j,l,k,d,C,B,d,v,j,c,C,w,e,i,c,B,b,j,f,s,C,a,B,o,c,f,n,h,p,l,u,m,m,p,j,o,o,o,g,j,n,r,l,p,A,w,o,c,e,C
g,d,n,s,v,x,v,a,i,i,p,A,C,h,q,c,p,B,d,u,o,u,r,D,A,y,b,k,h,s,u,o,b,p,s,h,n,z,y,h,h,p,n,t,u,b,a,g,l,f
j,l,y,a,k,j,j,c,D,y,m,i,p,o,j,x,c,n,i,e,r,n,y,d,p,n,b,j,c,g,u,q,g,s,w,k,s,i,j,B,c,a,x,c,C,g,u,D,B,w
e,r,A,k,b,y,g,i,u,y,q,g,i,C,a,w,d,B,j,r,m,x,h,A,q,h,t,i,d,w,i,b,s,o,a,o,i,w,n,C,o,B,r,k,o,q,C,r,e,C
e,s,s,o,n,x,t,h,d,e,n,s,d,b,A,c,i,r,D,i,v,i,n,s,D,j,d,s,w,C,a,v,z,u,c,e,A,d,a,z,s,l,o,c,k,e,g,z,z,r
w,j,e,y,o,l,g,z,k,f,i,t,l,c,l,l,m,r,k,w,p,i,u,g,r,B,w,g,u,q,n,o,s,p,t,w,m,h,h,l,a,A,C,o,e,i,i,n,A,t
f,c,o,v,p,d,j,o,j,v,f,n,a,m,v,D,f,i,p,y,k,s,x,n,z,h,o,k,w,b,l,D,q,e,x,c,t,o,p,u,y,m,c,e,f,d,q,o,t,y
q,B,x,p,i,o,j,b,b,x,q,a,k,x,i,x,b,z,x,t,u,a,g,C,r,l,D,q,r,i,p,B,B,r,u,q,a,e,p,D,f,w,w,n,b,q,z,d,r,u
u,q,B,A,u,k,j,m,z,q,j,C,r,l,a,d,g,g,v,k,e,g,w,x,B,a,C,B,p,h,n,b,s,h,B,l,D,n,a,g,r,y,h,r,x,m,c,i,t,A
a,a,s,d,f,z,v,x,a,a,B,j,f,e,e,k,i,d,i,s,g,c,s,c,s,i,h,w,u,i,u,m,D,B,x,o,z,t,u,k,x,C,p,B,m,m,q,A,y,A
B,l,h,y,o,s,a,o,g,j,u,k,B,c,e,C,v,j,q,v,f,h,B,u,s,s,z,x,c,n,j,r,a,y,h,s,c,D,l,y,x,n,i,m,m,l,f,q,n,z
i,A,y,b,p,x,k,l,x,x,q,i,n,h,t,r,s,C,j,g,z,b,z,r,e,k,B,b,c,u,y,p,e,e,y,C,s,d,f,l,C,c,g,q,y,l,l,y,A,e
e,d,e,t,t,D,f,a,i,k,j,j,v,h,x,B,x,v,l,i,B,j,d,l,u,C,z,A,x,f,g,c,b,b,B,i,u,D,z,g,d,v,b,q,B,d,i,c,n,w
a,D,n,c,D,y,o,r,l,D,d,n,i,a,s,B,k,p,w,y,i,b,t,j,i,a,q,b,h,g,j,e,a,y,z,n,p,z,o,i,A,v,s,i,j,q,A,A,p,w
l,m,p,l,l,c,h,d,j,s,a,s,y,c,q,e,q,b,h,r,s,y,C,x,B,o,k,g,a,r,p,t,u,r,c,c,h,w,k,n,i,v,i,o,y,t,C,w,c,v
o,k,m,w,p,q,o,q,f,D,x,v,m,e,o,z,q,p,n,f,q,n,r,s,B,n,B,d,q,z,D,t,B,c,r,s,b,o,v,b,c,v,C,m,w,n,D,j,C,u
k,A,y,A,B,d,a,u,u,p,k,q,z,a,k,p,C,i,w,u,j,t,t,c,A,s,C,h,y,k,x,e,e,A,B,w,B,l,p,p,n,w,p,g,e,B,g,q,y,o
l,c,m,p,a,C,C,s,j,r,k,e,B,q,w,x,j,D,o,f,j,u,u,f,x,D,b,p,C,y,d,o,e,c,r,C,D,D,u,s,z,p,y,m,f,w,l,g,i,y
n,n,q,v,l,l,f,g,x,x,x,s,b,z,p,y,f,g,k,n,f,n,i,o,c,o,z,r,h,n,c,y,i,y,t,y,f,c,z,C,b,x,B,y,a,f,u,A,B,l
n,r,x,h,g,b,r,l,r,f,b,x,A,r,m,r,h,n,w,q,e,B,n,B,c,w,k,o,d,q,i,t,C,v,h,i,f,i,f,A,B,g,i,p,l,h,y,u,c,w
C,o,y,x,v,g,i,A,c,h,j,r,i,b,n,w,q,t,p,x,j,j,u,z,B,a,e,d,l,b,q,k,B,l,q,v,l,D,o,i,r,t,f,B,o,s,n,e,b,n
g,b,p,y,p,i,t,p,x,m,l,h,j,r,g,t,h,u,r,d,p,u,k,z,k,B,t,y,a,i,x,c,f,A,d,d,x,s,i,j,s,b,q,n,B,o,f,A,e,n
f,B,i,b,b,n,u,j,u,c,b,u,g,B,t,A,l,n,m,k,w,l,n,i,y,b,r,A,t,n,D,q,s,k,p,l,D,e,l,f,B,f,r,g,c,B,x,t,C,a
d,p,t,z,w,p,q,D,C,w,t,k,r,B,A,t,m,s,n,x,B,e,B,w,n,w,s,j,q,a,y,d,B,u,f,z,c,p,j,s,p,l,b,c,s,d,C,r,p,k
b,y,f,A,c,f,f,n,s,z,c,p,z,g,w,C,b,k,t,e,B,A,o,y,p,x,g,l,c,g,s,o,u,c,g,r,r,m,c,C,w,i,q,e,l,n,y,q,a,o
x,A,D,j,b,i,v,w,C,g,h,x,n,r,t,k,A,A,d,b,c,v,k,a,d,h,f,B,v,f,A,h,B,o,z,A,s,m,B,c,p,s,m,m,j,j,m,w,c,a
r,w,u,c,s,g,m,n,g,e,y,C,p,z,B,k,w,u,d,s,j,f,m,o,b,C,n,k,l,i,i,p,i,p,i,c,n,t,n,n,a,p,q,c,h,h,z,g,g,v
x,f,i,f,D,c,r,i,q,w,h,C,z,l,y,r,g,s,y,l,x,f,y,a,a,j,y,B,v,d,h,t,m,m,n,j,f,b,s,A,a,i,v,h,C,B,B,v,l,h
b,C,k,w,h,w,y,j,r,k,r,i,h,C,x,d,h,C,p,p,z,c,j,e,D,m,k,h,n,D,n,j,m,s,q,h,m,s,A,t,D,b,o,o,b,h,A,l,w,l
q,p,j,n,w,b,s,w,j,B,e,D,q,o,A,v,f,b,o,n,n,u,u,s,v,w,p,p,u,x,l,y,A,r,x,p,u,x,s,b,m,r,l,u,i,y,p,r,B,B
y,D,A,g,p,c,t,B,b,i,j,n,n,h,C,e,x,A,k,x,z,i,f,C,m,u,i,C,f,o,u,w,q,o,f,g,u,u,o,r,l,p,b,n,C,o,k,r,b,j
D,w,c,l,h,s,u,x,k,D,s,w,w,g,j,q,u,a,i,j,k,x,s,g,e,m,f,w,i,q,C,c,g,r,u,z,s,j,k,t,z,p,f,t,m,c,p,w,s,u
h,y,e,s,s,y,u,h,r,o,q,a,j,e,q,a,n,m,r,t,C,n,D,m,l,l,u,e,l,j,l,g,C,r,C,i,l,o,v,x,s,f,k,p,d,x,D,w,h,j
p,r,c,b,b,i,f,x,y,m,D,e,o,D,g,r,u,C,r,s,B,z,p,d,b,s,f,s,w,o,m,A,B,C,r,j,B,w,r,C,x,D,m,a,u,e,l,C,i,q
t,i,g,x,h,n,x,A,u,h,A,t,n,b,g,D,A,q,f,v,t,D,C,t,z,y,B,p,n,C,x,k,w,o,z,b,n,g,C,w,l,B,k,p,b,g,n,y,u,m
t,d,f,A,i,k,j,j,C,o,D,f,s,o,n,m,i,x,e,n,h,w,q,l,g,w,f,B,o,u,A,b,C,t,k,a,s,x,n,D,l,D,i,u,d,d,u,n,a,a
j,D,x,p,p,o,n,w,C,e,x,z,u,u,B,n,d,r,p,q,t,i,B,A,D,r,h,p,b,B,d,D,x,D,d,a,t,B,x,r,n,C,o,d,f,d,B,a,u,i
k,D,l,m,c,s,u,o,A,b,s,p,s,C,s,q,c,e,m,k,g,o,l,x,k,g,e,j,D,j,c,h,y,r,n,B,m,x,t,h,B,j,t,C,w,t,e,n,q,d
u,p,u,d,h,l,o,k,h,g,C,t,i,n,i,c,h,b,z,o,s,r,u,d,a,e,j,j,C,h,n,n,o,n,b,x,p,B,C,D,n,a,e,c,i,z,a,v,z,n
h,B,m,w,y,f,x,A,r,p,y,o,a,v,a,B,w,f,o,u,t,r,h,g,a,D,x,f,D,v,n,j,i,f,k,a,y,a,w,o,i,e,d,t,b,m,x,n,g,v
l,p,i,c,n,t,v,i,a,e,f,u,t,z,i,p,a,r,c,n,C,d,k,l,b,t,h,n,b,o,h,b,c,e,o,q,a,d,u,n,z,z,B,g,r,n,z,C,q,x
b,m,n,w,k,v,b,x,k,t,l,D,k,B,z,y,n,w,x,x,v,j,i,o,q,t,i,q,D,d,s,f,A,c,b,i,p,k,r,s,r,r,y,r,o,p,s,q,i,s
C,h,v,u,w,w,f,n,e,b,r,C,j,k,k,a,l,t,m,l,r,m,B,D,z,w,C,t,j,p,p,t,b,p,v,m,A,D,v,g,n,D,m,u,A,f,f,u,n,l
y,D,c,o,b,A,j,t,D,D,i,y,B,b,y,s,z,h,t,q,t,d,g,e,f,r,p,m,k,m,c,D,t,t,m,v,k,h,t,n,z,a,p,b,C,e,b,b,o,n
C,r,u,j,a,B,r,A,p,o,x,b,c,A,c,o,C,h,s,r,i,m,y,q,d,A,f,B,z,x,f,o,q,i,w,o,p,h,n,e,c,d,r,b,D,v,h,A,z,A
e,u,l,B,q,y,w,y,u,x,j,s,b,y,z,r,e,y,x,A,c,n,w,z,i,p,a,D,m,w,a,t,y,h,B,r,v,n,d,i,j,A,s,m,a,c,C,o,q,h
k,B,j,d,r,n,j,a,w,x,h,D,z,y,k,B,d,r,g,t,B,b,A,c,g,t,w,o,g,D,o,n,b,j,p,i,q,C,C,D,b,s,w,B,o,u,B,g,v,q
b,B,l,p,o,C,s,m,r,g,x,s,y,w,b,k,e,u,s,z,d,e,h,A,n,r,q,z,s,b,d,d,j,k,k,r,l,h,u,r,r,b,D,v,t,m,u,m,g,p
i,f,s,s,w,o,l,b,b,p,C,v,c,y,n,z,b,g,w,D,u,u,s,o,C,s,l,y,t,t,C,q,x,w,k,l,w,p,m,a,k,m,p,n,q,h,x,e,w,o
h,d,C,D,x,y,f,B,t,u,l,o,j,A,x,q,o,t,a,h,w,m,t,h,c,v,r,x,A,j,x,t,h,i,t,m,s,t,e,v,u,h,s,c,n,a,q,b,a,C
l,b,k,z,g,v,v,x,b,n,D,t,b,o,n,o,B,u,b,u,a,u,n,j,d,h,q,n,u,p,c,y,t,i,f,c,x,k,f,c,c,y,r,C,x,a,C,p,g,c
n,d,c,l,t,d,C,t,i,o,z,C,d,d,D,y,n,d,C,b,f,f,q,g,C,a,e,e,a,y,d,w,g,x,w,p,D,x,r,a,k,x,o,k,n,z,f,a,m,x
l,z,C,z,f,g,o,i,z,z,g,s,g,v,C,y,j,B,k,e,i,b,h,f,i,x,o,d,f,k,k,m,q,D,q,y,j,n,h,l,o,C,n,x,p,e,s,a,t,y
D,s,o,n,B,q,u,v,v,p,C,C,u,o,A,l,m,b,B,b,k,m,f,a,b,b,m,p,o,f,k,k,l,h,m,g,f,i,D,f,d,s,o,s,r,D,o,D,l,g
x,b,C,t,e,m,j,n,v,A,w,i,y,m,d,A,h,q,n,z,u,h,o,n,s,l,r,o,c,g,o,m,l,u,d,f,v,u,s,i,j,f,p,D,s,p,z,x,y,A
r,d,r,j,B,b,s,e,f,m,g,x,o,h,C,u,C,i,w,c,k,z,s,k,a,h,y,q,q,x,b,h,q,b,t,v,g,u,i,f,b,u,q,j,b,n,k,a,z,c
j,u,n,C,B,D,s,g,B,j,z,z,v,D,s,y,A,a,c,c,k,k,z,a,w,g,r,z,r,a,D,l,y,m,n,q,f,w,g,t,t,h,g,t,s,s,s,v,r,v
B,r,q,x,x,e,b,C,C,f,m,n,w,y,z,y,x,v,C,g,n,c,c,A,z,k,u,l,a,C,g,e,f,q,e,C,o,b,x,C,f,f,n,j,d,z,A,p,t,x
t,q,f,k,B,A,s,u,h,f,h,x,q,A,r,c,s,w,o,y,l,f,r,s,h,C,D,m,e,q,o,v,j,s,a,B,h,a,g,o,v,a,a,C,t,w,q,u,w,z
h,u,d,t,z,m,m,u,i,A,v,k,f,o,C,A,g,z,g,o,g,j,a,r,i,h,h,j,B,j,i,z,l,q,e,b,w,i,k,w,y,b,A,a,x,g,D,q,e,y
o,p,q,s,w,m,A,x,z,q,i,B,y,r,a,w,v,A,e,n,q,u,p,x,u,l,f,o,y,c,d,j,s,l,f,l,p,d,k,e,D,i,v,n,c,a,u,o,y,g
y,f,i,d,v,a,o,d,D,s,o,e,o,m,l,D,c,e,r,C,c,z,q,A,o,s,B,a,z,e,z,o,g,t,e,j,i,A,v,q,x,x,e,k,a,b,D,r,A,y
s,A,q,e,q,z,c,i,b,r,j,i,v,x,k,j,m,r,o,d,u,u,g,w,t,x,e,C,e,i,B,p,c,B,r,u,s,e,m,r,s,l,c,s,n,e,i,C,f,f
f,x,p,n,A,w,a,k,a,e,A,B,p,C,x,j,B,m,D,b,s,d,B,p,d,l,h,e,C,B,r,v,C,f,c,i,A,a,a,p,C,y,t,f,u,w,w,n,g,i
c,m,w,z,q,a,a,l,i,y,A,u,b,e,f,j,q,e,A,m,c,j,v,f,m,u,i,j,B,j,l,z,a,o,t,i,i,e,z,n,q,i,x,a,z,n,c,e,n,w
a,v,j,t,k,i,n,n,t,v,e,B,t,l,v,n,m,v,h,s,o,x,s,u,C,o,w,b,j,m,i,n,e,y,C,s,B,a,u,e,z,f,w,u,p,q,c,m,g,w
b,k,C,p,w,z,m,r,y,c,c,l,k,B,v,f,r,e,n,q,j,D,c,n,t,s,o,m,n,j,a,n,n,g,t,v,f,p,D,o,t,z,k,k,C,g,o,t,p,k
b,r,x,y,w,p,x,o,n,m,u,i,b,s,A,i,y,s,o,x,o,e,e,f,C,p,a,s,i,z,u,f,C,g,b,B,x,t,h,k,q,v,r,u,z,a,s,q,g,c
j,l,k,z,a,d,e,a,r,y,e,b,p,i,n,v,f,l,o,o,k,f,e,j,w,C,s,y,s,m,g,r,e,l,u,D,y,n,h,u,h,j,w,p,r,b,e,d,j,e
